################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0133281822994408E-01 a         1     0     1     1     1
 -4.6341505271762223E-01 a         2     0     1     1     2
 -1.8899484266122588E-01 a         3     0     1     1     3
 -5.1859809988982475E-01 a         4     0     1     1     4
  1.7301725774926419E-01 a         5     0     1     1     5
  3.4930561599064386E-01 a         6     0     1     1     6
  3.6284968447293847E-01 a         7     0     1     1     7
  8.5321469836498173E-02 a         8     0     1     1     8
 -1.4978118447375943E-01 a         9     0     1     1     9
  2.1215191054314725E-01 a        10     0     1     1    10
 -6.2181557685145411E-02 a        11     0     1     1    11
 -4.5293465198564892E-02 a        12     0     1     1    12
 -1.3311193415697445E-01 a        13     0     1     1    13
  2.2203008141818362E-02 a        14     0     1     1    14
  3.9806697412333125E-01 a        15     0     1     1    15
  1.1979483426382644E-01 a        16     0     1     1    16
  1.5656124699311578E-02 a        17     0     1     1    17
 -2.3784492390027337E-01 a        18     0     1     1    18
 -1.3929121771174682E-01 a        19     0     1     1    19
 -4.0589670336750011E-01 a        20     0     1     1    20
 -2.8787294561425936E-01 a        21     0     2     1     1
  9.3223155370777563E-02 a        22     0     2     1     2
  3.7745054203984890E-01 a        23     0     2     1     3
  2.6301226387148102E-01 a        24     0     2     1     4
 -2.5021716948316891E-01 a        25     0     2     1     5
  1.3876871349040781E-01 a        26     0     2     1     6
  2.3470445244569133E-01 a        27     0     2     1     7
 -5.5065594373142270E-02 a        28     0     2     1     8
  5.0257274487365544E-01 a        29     0     2     1     9
  1.2933469955834823E-01 a        30     0     2     1    10
  3.5218061799607825E-03 a        31     0     2     1    11
  2.5074163524881271E-01 a        32     0     2     1    12
  3.5829837992368413E-02 a        33     0     2     1    13
 -5.3737193387958437E-01 a        34     0     2     1    14
 -3.3475161459182939E-01 a        35     0     2     1    15
  5.9971463639428860E-02 a        36     0     2     1    16
 -3.7113556627080052E-01 a        37     0     2     1    17
  6.5617489625341613E-02 a        38     0     2     1    18
 -3.1293213188994295E-01 a        39     0     2     1    19
  3.2853963926523344E-02 a        40     0     2     1    20
  1.3606718260768078E-01 a        41     0     3     1     1
  2.1126400654095437E-01 a        42     0     3     1     2
  1.6219414424468628E-01 a        43     0     3     1     3
 -3.8205744345130227E-01 a        44     0     3     1     4
  4.1554254406817515E-01 a        45     0     3     1     5
 -3.8944473339155555E-01 a        46     0     3     1     6
 -1.2329844153025650E-01 a        47     0     3     1     7
  1.2668127127783715E-01 a        48     0     3     1     8
 -3.1631690977774252E-01 a        49     0     3     1     9
 -1.0589774354734214E-02 a        50     0     3     1    10
 -9.1033325050414397E-03 a        51     0     3     1    11
  1.8954247110519090E-01 a        52     0     3     1    12
 -2.8600736399342169E-01 a        53     0     3     1    13
  9.2581439280274486E-02 a        54     0     3     1    14
  1.4326767548758132E-01 a        55     0     3     1    15
  2.7917963728812811E-01 a        56     0     3     1    16
  4.8798661746694977E-01 a        57     0     3     1    17
  3.8913607617309665E-01 a        58     0     3     1    18
  2.8480641618990843E-01 a        59     0     3     1    19
 -2.0956625658738515E-01 a        60     0     3     1    20
  1.5619725037748658E-01 a        61     0     4     1     1
  2.2843213988758981E-01 a        62     0     4     1     2
 -1.8490662429882010E-01 a        63     0     4     1     3
  4.8335881320036557E-02 a        64     0     4     1     4
  2.0409094557197138E-01 a        65     0     4     1     5
 -3.1549149992273551E-01 a        66     0     4     1     6
 -3.6735413138069034E-01 a        67     0     4     1     7
 -2.9299429741373162E-01 a        68     0     4     1     8
 -4.5096627818696888E-01 a        69     0     4     1     9
 -2.8087755251584423E-01 a        70     0     4     1    10
  1.0575849680111815E-01 a        71     0     4     1    11
 -3.1715820240478892E-01 a        72     0     4     1    12
 -2.8896960707944458E-01 a        73     0     4     1    13
  3.3039296425846998E-01 a        74     0     4     1    14
  1.2672534252962284E-01 a        75     0     4     1    15
 -4.8759132333585453E-01 a        76     0     4     1    16
 -2.5943980861589133E-01 a        77     0     4     1    17
  1.2472798537378885E-01 a        78     0     4     1    18
 -3.9491523557086350E-02 a        79     0     4     1    19
 -2.2743685254179569E-02 a        80     0     4     1    20
 -2.6675131153777587E-01 a        81     0     5     1     1
  3.2302660936260291E-01 a        82     0     5     1     2
 -3.6028722449362832E-01 a        83     0     5     1     3
  3.4874229755978681E-01 a        84     0     5     1     4
 -2.1781530771904914E-01 a        85     0     5     1     5
 -6.2982211237836191E-02 a        86     0     5     1     6
 -1.6419682006336961E-01 a        87     0     5     1     7
 -5.3247374403273351E-01 a        88     0     5     1     8
  3.4869369683999951E-01 a        89     0     5     1     9
 -9.0844881779209158E-02 a        90     0     5     1    10
 -5.0229351406725450E-02 a        91     0     5     1    11
 -2.0134109699298644E-01 a        92     0     5     1    12
  7.9849609390571175E-02 a        93     0     5     1    13
 -1.3636185158739578E-01 a        94     0     5     1    14
 -2.7843832095692733E-01 a        95     0     5     1    15
 -4.7782961693346539E-02 a        96     0     5     1    16
 -3.2801382343342134E-01 a        97     0     5     1    17
 -7.7451870299150821E-02 a        98     0     5     1    18
  2.2088512787662423E-01 a        99     0     5     1    19
  9.5448721696173924E-02 a       100     0     5     1    20
  3.0590775826203653E-01 a       101     0     6     1     1
 -2.5185248978340108E-01 a       102     0     6     1     2
  2.4916673432109915E-01 a       103     0     6     1     3
 -3.7270773770932814E-01 a       104     0     6     1     4
 -9.0746338403719262E-02 a       105     0     6     1     5
  3.3518432882435445E-01 a       106     0     6     1     6
  4.3234268863898619E-02 a       107     0     6     1     7
  1.7368871382356051E-02 a       108     0     6     1     8
  1.6369730439778749E-01 a       109     0     6     1     9
 -1.1468563443060679E-01 a       110     0     6     1    10
  1.6978656758078531E-01 a       111     0     6     1    11
  3.8840794919142757E-01 a       112     0     6     1    12
 -2.7813169885721408E-02 a       113     0     6     1    13
  3.5532614722903177E-01 a       114     0     6     1    14
 -1.4315255330916329E-01 a       115     0     6     1    15
  1.6919216539516152E-01 a       116     0     6     1    16
  3.4078084123835767E-01 a       117     0     6     1    17
  2.8805495348432635E-03 a       118     0     6     1    18
 -3.4023470222085461E-02 a       119     0     6     1    19
  4.7407096795460230E-01 a       120     0     6     1    20
  1.5249885603554922E-01 a       121     0     7     1     1
 -4.7914757295831795E-01 a       122     0     7     1     2
  2.9772577907388809E-01 a       123     0     7     1     3
 -2.9070386994173719E-01 a       124     0     7     1     4
  2.7272013293466224E-01 a       125     0     7     1     5
 -1.8654762358228172E-01 a       126     0     7     1     6
 -1.2520031595059106E-01 a       127     0     7     1     7
  3.7223751404996719E-01 a       128     0     7     1     8
 -6.0928733993225216E-02 a       129     0     7     1     9
 -9.1349228484641609E-02 a       130     0     7     1    10
  7.2486184676761170E-02 a       131     0     7     1    11
 -3.6778472412353042E-01 a       132     0     7     1    12
  2.6544100275601085E-01 a       133     0     7     1    13
 -3.3692281718400080E-01 a       134     0     7     1    14
  2.1683048327290416E-01 a       135     0     7     1    15
  2.0752922938135360E-01 a       136     0     7     1    16
  1.0154752711840226E-01 a       137     0     7     1    17
  2.9650821388427995E-01 a       138     0     7     1    18
 -2.4151636995694081E-01 a       139     0     7     1    19
 -2.6966291223588229E-01 a       140     0     7     1    20
 -4.2434012220426764E-01 a       141     0     8     1     1
  2.0626632531039754E-01 a       142     0     8     1     2
 -2.4403487161272538E-01 a       143     0     8     1     3
 -2.1734421566932116E-01 a       144     0     8     1     4
 -3.5809291196298076E-01 a       145     0     8     1     5
 -2.8874169844152781E-01 a       146     0     8     1     6
 -3.7936427342505956E-02 a       147     0     8     1     7
  2.1402003225360852E-03 a       148     0     8     1     8
  1.4270829144618087E-02 a       149     0     8     1     9
 -3.9481930503324991E-01 a       150     0     8     1    10
 -3.1599812934582994E-01 a       151     0     8     1    11
  1.0563407707601266E-01 a       152     0     8     1    12
  4.0185326912619679E-01 a       153     0     8     1    13
 -4.3171471326569016E-01 a       154     0     8     1    14
  3.1841275764297344E-01 a       155     0     8     1    15
 -4.8618904743302416E-01 a       156     0     8     1    16
 -3.9067815123038349E-02 a       157     0     8     1    17
  3.7862771927855299E-01 a       158     0     8     1    18
  1.3013430380340466E-01 a       159     0     8     1    19
 -1.4294912682637223E-01 a       160     0     8     1    20
  1.3046420087943347E-01 a       161     0     9     1     1
 -6.9738858901595910E-02 a       162     0     9     1     2
  2.1979664741497607E-01 a       163     0     9     1     3
 -3.2756997699131646E-01 a       164     0     9     1     4
  2.8592827152859795E-01 a       165     0     9     1     5
 -4.2308204953669171E-01 a       166     0     9     1     6
 -2.0207569697931230E-01 a       167     0     9     1     7
 -3.5870110663070304E-01 a       168     0     9     1     8
  1.1208678155146826E-01 a       169     0     9     1     9
  2.1390418921162851E-01 a       170     0     9     1    10
  2.2448464463646459E-01 a       171     0     9     1    11
  9.7009154868555908E-02 a       172     0     9     1    12
  1.6595223592202726E-01 a       173     0     9     1    13
  2.3297547915644110E-01 a       174     0     9     1    14
  2.1409156285628939E-01 a       175     0     9     1    15
  3.7154817230088033E-01 a       176     0     9     1    16
  8.8367552146706690E-02 a       177     0     9     1    17
 -4.1562192688006022E-01 a       178     0     9     1    18
  4.3210211298131745E-01 a       179     0     9     1    19
  7.0379789604697235E-02 a       180     0     9     1    20
  1.2447568288615471E-01 a       181     0    10     1     1
  1.5210344807471146E-01 a       182     0    10     1     2
 -1.9099928080560241E-01 a       183     0    10     1     3
  4.7471855200726121E-01 a       184     0    10     1     4
 -2.0862851891421591E-01 a       185     0    10     1     5
 -3.6078897052951420E-01 a       186     0    10     1     6
  3.8424142285745566E-01 a       187     0    10     1     7
  3.5960635248229278E-01 a       188     0    10     1     8
  4.3592625168688011E-02 a       189     0    10     1     9
 -2.2395348150341926E-01 a       190     0    10     1    10
 -3.7454452378618441E-01 a       191     0    10     1    11
  2.0967688372454005E-01 a       192     0    10     1    12
 -2.5750341234147656E-01 a       193     0    10     1    13
  1.9688614843335822E-01 a       194     0    10     1    14
 -1.4686112167750620E-01 a       195     0    10     1    15
  1.4276786739518327E-01 a       196     0    10     1    16
  1.9429977279431657E-01 a       197     0    10     1    17
 -4.9006155682252986E-02 a       198     0    10     1    18
 -4.0402104780789477E-01 a       199     0    10     1    19
  2.6239922255325142E-02 a       200     0    10     1    20
  3.0026369513622841E-01 a       201     0    11     1     1
  2.7551938602298565E-01 a       202     0    11     1     2
  1.5824672570578630E-01 a       203     0    11     1     3
 -1.6929923026971375E-01 a       204     0    11     1     4
 -2.2306217047870835E-02 a       205     0    11     1     5
 -3.4965527709574284E-01 a       206     0    11     1     6
 -3.6217570297631219E-01 a       207     0    11     1     7
  3.5901877093168374E-02 a       208     0    11     1     8
 -1.8871835328575362E-01 a       209     0    11     1     9
  2.7157895269620802E-01 a       210     0    11     1    10
 -1.0925107740728143E-01 a       211     0    11     1    11
  2.3144844837505993E-01 a       212     0    11     1    12
 -2.6965744437764683E-01 a       213     0    11     1    13
 -4.0706155660861254E-01 a       214     0    11     1    14
 -3.7060680045899475E-01 a       215     0    11     1    15
  1.0212488151493813E-01 a       216     0    11     1    16
 -1.7547904207911835E-01 a       217     0    11     1    17
  1.5402867711158333E-01 a       218     0    11     1    18
 -4.0684773673984065E-01 a       219     0    11     1    19
 -3.6242923062855936E-01 a       220     0    11     1    20
  2.5377702095992360E-01 a       221     0    12     1     1
  1.5941217687458407E-02 a       222     0    12     1     2
 -1.5712756757090776E-01 a       223     0    12     1     3
  2.4362484472014839E-01 a       224     0    12     1     4
  3.6199074667845588E-01 a       225     0    12     1     5
  3.2475855595229652E-01 a       226     0    12     1     6
 -2.9289895839885377E-01 a       227     0    12     1     7
 -1.7807420437193336E-01 a       228     0    12     1     8
 -2.6512237027920982E-01 a       229     0    12     1     9
 -2.1332878634333599E-02 a       230     0    12     1    10
 -6.1164076441998269E-02 a       231     0    12     1    11
 -1.3163820022663134E-01 a       232     0    12     1    12
 -2.9586615547625084E-01 a       233     0    12     1    13
 -3.1637533933576972E-01 a       234     0    12     1    14
 -2.5544579390308081E-01 a       235     0    12     1    15
 -3.1450449802112501E-01 a       236     0    12     1    16
  1.0904963596222203E-01 a       237     0    12     1    17
 -1.3693556561677267E-01 a       238     0    12     1    18
  8.4157654992086744E-02 a       239     0    12     1    19
 -4.3798796986855119E-03 a       240     0    12     1    20
  3.5505716166796253E-01 a       241     0    13     1     1
 -2.7820991535494094E-01 a       242     0    13     1     2
 -3.3779395494655612E-01 a       243     0    13     1     3
  9.1447935232085609E-02 a       244     0    13     1     4
 -1.8479002359133290E-01 a       245     0    13     1     5
  5.5622328100423099E-02 a       246     0    13     1     6
 -1.6556020276369224E-01 a       247     0    13     1     7
  1.9389480573873583E-01 a       248     0    13     1     8
 -5.6255274232695799E-03 a       249     0    13     1     9
  2.8971425360305730E-01 a       250     0    13     1    10
  1.3778311309426521E-02 a       251     0    13     1    11
  2.1159641891806216E-01 a       252     0    13     1    12
  3.0634542418317917E-01 a       253     0    13     1    13
  9.0755311831117610E-02 a       254     0    13     1    14
 -2.2809965503056509E-01 a       255     0    13     1    15
  2.7938189095437094E-01 a       256     0    13     1    16
  2.3819089365184484E-01 a       257     0    13     1    17
  3.9934929650924933E-02 a       258     0    13     1    18
  2.4957317605505308E-01 a       259     0    13     1    19
 -2.3029270196931156E-02 a       260     0    13     1    20
 -2.8428693014306317E-01 a       261     0    14     1     1
  1.2774781274547098E-01 a       262     0    14     1     2
 -2.2875534842880307E-01 a       263     0    14     1     3
 -1.7435525481961198E-01 a       264     0    14     1     4
 -3.3616189846882999E-01 a       265     0    14     1     5
 -1.6570830208494683E-01 a       266     0    14     1     6
 -2.1245833833373823E-01 a       267     0    14     1     7
 -1.9761952547936782E-02 a       268     0    14     1     8
 -7.8127582474893209E-02 a       269     0    14     1     9
 -1.0000360454293437E-01 a       270     0    14     1    10
  2.0745465487497594E-01 a       271     0    14     1    11
 -1.8631180212433848E-01 a       272     0    14     1    12
 -1.2692762630415522E-01 a       273     0    14     1    13
  3.5806434791090114E-01 a       274     0    14     1    14
  2.5119512491125023E-01 a       275     0    14     1    15
 -2.2132252469472416E-01 a       276     0    14     1    16
  1.5074585499910212E-01 a       277     0    14     1    17
 -7.8828727887413422E-02 a       278     0    14     1    18
 -3.2841627524467881E-01 a       279     0    14     1    19
  1.5097110929523119E-01 a       280     0    14     1    20
 -2.5674651970380163E-01 a       281     0    15     1     1
  4.0677900089102430E-02 a       282     0    15     1     2
  1.6769304410834446E-01 a       283     0    15     1     3
  3.0606015097897482E-01 a       284     0    15     1     4
 -5.1141503544821561E-02 a       285     0    15     1     5
  1.4888805154370330E-01 a       286     0    15     1     6
 -1.4312791483824219E-01 a       287     0    15     1     7
 -3.6151224375180835E-01 a       288     0    15     1     8
 -1.1598843877978461E-01 a       289     0    15     1     9
 -3.2544847637994728E-01 a       290     0    15     1    10
  2.2514785890160968E-02 a       291     0    15     1    11
  1.2720951894331017E-01 a       292     0    15     1    12
 -2.5209222121877845E-01 a       293     0    15     1    13
  3.5804516691948007E-01 a       294     0    15     1    14
  3.8988006173744739E-02 a       295     0    15     1    15
 -4.0729151452847839E-01 a       296     0    15     1    16
 -3.5500122735455375E-01 a       297     0    15     1    17
  3.2143292062420153E-01 a       298     0    15     1    18
 -1.1159851800175406E-01 a       299     0    15     1    19
  7.4230270925660813E-02 a       300     0    15     1    20
 -2.8158366849962130E-01 a       301     0    16     1     1
 -3.2401484722503032E-01 a       302     0    16     1     2
  2.2467476045846729E-01 a       303     0    16     1     3
 -7.2634526585374115E-02 a       304     0    16     1     4
  3.5733934774712553E-02 a       305     0    16     1     5
 -2.9333002947422965E-01 a       306     0    16     1     6
 -1.9081913245300069E-01 a       307     0    16     1     7
 -3.3434927746234293E-02 a       308     0    16     1     8
  2.3577946368744610E-02 a       309     0    16     1     9
 -5.7820535148421842E-03 a       310     0    16     1    10
  6.7499917185982777E-02 a       311     0    16     1    11
 -5.8978720429329889E-02 a       312     0    16     1    12
 -2.2466568946385967E-01 a       313     0    16     1    13
  1.4213793944672606E-01 a       314     0    16     1    14
 -1.6960261576037614E-01 a       315     0    16     1    15
 -4.7344635680300368E-02 a       316     0    16     1    16
 -2.8720291946551513E-01 a       317     0    16     1    17
  9.5284305272637065E-02 a       318     0    16     1    18
  2.2908444621549165E-01 a       319     0    16     1    19
 -1.1236070706745788E-01 a       320     0    16     1    20
 -1.2020703603694195E-01 a       321     0    17     1     1
  1.0224146539183324E-01 a       322     0    17     1     2
  1.6095023863070562E-01 a       323     0    17     1     3
  2.0199634435091530E-02 a       324     0    17     1     4
  3.7835641437250994E-01 a       325     0    17     1     5
 -7.4728884517382133E-02 a       326     0    17     1     6
 -7.1830272860672853E-02 a       327     0    17     1     7
 -3.3551181337620534E-01 a       328     0    17     1     8
  9.9364825921970754E-02 a       329     0    17     1     9
  2.7085469390113170E-01 a       330     0    17     1    10
  3.9491428090974362E-01 a       331     0    17     1    11
 -7.7860434438550882E-02 a       332     0    17     1    12
 -2.0779927884064189E-01 a       333     0    17     1    13
  1.6657829380945621E-01 a       334     0    17     1    14
 -2.3076746360271810E-01 a       335     0    17     1    15
 -1.2410402948815578E-01 a       336     0    17     1    16
 -1.1909426257041408E-01 a       337     0    17     1    17
 -7.0006379235158678E-02 a       338     0    17     1    18
 -2.8593901333958921E-01 a       339     0    17     1    19
  1.8250216715380874E-01 a       340     0    17     1    20
  1.0861767659792680E-01 a       341     0    18     1     1
  2.4880775145473261E-01 a       342     0    18     1     2
  1.7545917249339382E-01 a       343     0    18     1     3
  2.2118840834290968E-01 a       344     0    18     1     4
 -1.7884352120544786E-01 a       345     0    18     1     5
  1.3795878641062365E-01 a       346     0    18     1     6
  1.0171917296256058E-01 a       347     0    18     1     7
  1.6427950008747130E-01 a       348     0    18     1     8
  5.3075431317843098E-02 a       349     0    18     1     9
  9.2370251609680154E-02 a       350     0    18     1    10
  1.5569988202248439E-01 a       351     0    18     1    11
 -9.4089453383485400E-02 a       352     0    18     1    12
  3.0484763647205904E-01 a       353     0    18     1    13
 -2.3243668416890684E-02 a       354     0    18     1    14
 -2.0537297635285717E-01 a       355     0    18     1    15
 -1.8821691243549421E-01 a       356     0    18     1    16
  9.8837984368353046E-02 a       357     0    18     1    17
  5.7734214420018894E-02 a       358     0    18     1    18
  2.2445348111127092E-01 a       359     0    18     1    19
  2.1738665648173509E-02 a       360     0    18     1    20
  2.8749706059058555E-01 a       361     0    19     1     1
 -1.8546102088969652E-01 a       362     0    19     1     2
 -1.8421001699295189E-01 a       363     0    19     1     3
 -5.7101465096665020E-02 a       364     0    19     1     4
  2.0004948628134578E-01 a       365     0    19     1     5
 -4.9574080087921739E-02 a       366     0    19     1     6
  2.9609191078850255E-01 a       367     0    19     1     7
  1.5536566238551472E-01 a       368     0    19     1     8
 -1.4421560098114075E-01 a       369     0    19     1     9
  1.9879310866305822E-01 a       370     0    19     1    10
  1.9757630718796962E-01 a       371     0    19     1    11
 -1.2157977932059716E-01 a       372     0    19     1    12
  2.3494234345265094E-01 a       373     0    19     1    13
 -2.3081943848552958E-01 a       374     0    19     1    14
  1.7120084506163566E-01 a       375     0    19     1    15
 -1.1921128748497380E-01 a       376     0    19     1    16
  9.8670235367713702E-02 a       377     0    19     1    17
 -5.0262431105612460E-01 a       378     0    19     1    18
  8.8555901068051918E-02 a       379     0    19     1    19
  1.9137653798371051E-02 a       380     0    19     1    20
 -5.3839760545535461E-03 a       381     0    20     1     1
  1.4424655850988888E-01 a       382     0    20     1     2
  3.4320569645307691E-02 a       383     0    20     1     3
  8.3932425689407536E-02 a       384     0    20     1     4
  2.1531535237177135E-01 a       385     0    20     1     5
 -3.0054813090880317E-01 a       386     0    20     1     6
 -3.2583030182765976E-01 a       387     0    20     1     7
 -8.6125510769853170E-02 a       388     0    20     1     8
 -1.6042571934691297E-04 a       389     0    20     1     9
  2.4826949853373853E-01 a       390     0    20     1    10
  4.1013688602523424E-01 a       391     0    20     1    11
 -1.0370492882423095E-02 a       392     0    20     1    12
  3.1137577956840633E-03 a       393     0    20     1    13
  9.6289722796230368E-02 a       394     0    20     1    14
  3.6153319803940098E-02 a       395     0    20     1    15
 -3.2773861789282595E-03 a       396     0    20     1    16
 -1.2898222420613162E-01 a       397     0    20     1    17
  2.9395978147321594E-01 a       398     0    20     1    18
  1.4561826486145607E-01 a       399     0    20     1    19
  2.0370194575073011E-01 a       400     0    20     1    20
 -2.0208539377645490E-01 a       401     0    21     1     1
 -8.2835782428633872E-03 a       402     0    21     1     2
  2.1737850899927563E-01 a       403     0    21     1     3
  4.7958569903919154E-02 a       404     0    21     1     4
 -1.9631941730886351E-01 a       405     0    21     1     5
  1.4562823237988645E-01 a       406     0    21     1     6
 -9.0752383321562338E-02 a       407     0    21     1     7
  2.1793198314273005E-01 a       408     0    21     1     8
 -1.2278681347823484E-01 a       409     0    21     1     9
  1.5807369220305587E-01 a       410     0    21     1    10
 -1.0105179588178470E-01 a       411     0    21     1    11
  1.5658860698212773E-01 a       412     0    21     1    12
  2.1454644810088033E-01 a       413     0    21     1    13
 -2.5192629047863108E-01 a       414     0    21     1    14
  2.6954643211709556E-01 a       415     0    21     1    15
  8.8078414501775559E-02 a       416     0    21     1    16
  1.3108747771011436E-01 a       417     0    21     1    17
 -2.7438399124563928E-01 a       418     0    21     1    18
 -1.7327722297110888E-02 a       419     0    21     1    19
 -9.0468486833986603E-02 a       420     0    21     1    20
 -3.7940250171467105E-01 a       421     0    22     1     1
  1.0042088115322055E-01 a       422     0    22     1     2
  3.4214021291562186E-01 a       423     0    22     1     3
  1.9460649527401927E-01 a       424     0    22     1     4
 -8.2441287336627575E-02 a       425     0    22     1     5
 -7.8629605211366096E-02 a       426     0    22     1     6
 -2.6481576201128343E-01 a       427     0    22     1     7
  4.6976238319134354E-02 a       428     0    22     1     8
  2.0163454644235063E-01 a       429     0    22     1     9
 -1.1078208726597383E-01 a       430     0    22     1    10
 -6.7598322710262809E-02 a       431     0    22     1    11
 -1.6618194138757847E-01 a       432     0    22     1    12
  3.1735270933215093E-01 a       433     0    22     1    13
  7.2691696837756725E-02 a       434     0    22     1    14
 -4.2697209758037730E-02 a       435     0    22     1    15
  1.8135870072806803E-01 a       436     0    22     1    16
 -5.9061044984816596E-02 a       437     0    22     1    17
 -1.2327294412505845E-02 a       438     0    22     1    18
  6.2636850220238183E-02 a       439     0    22     1    19
  1.6823844257114615E-01 a       440     0    22     1    20
 -2.3930616671766708E-01 a       441     0    23     1     1
  5.1090021364138261E-01 a       442     0    23     1     2
  4.2562715417457125E-01 a       443     0    23     1     3
  1.6145105126489764E-01 a       444     0    23     1     4
  1.7015431525225924E-01 a       445     0    23     1     5
 -4.5131517031902893E-02 a       446     0    23     1     6
  3.9616009279614373E-01 a       447     0    23     1     7
  5.3567351125420937E-01 a       448     0    23     1     8
 -7.4657181713432913E-02 a       449     0    23     1     9
  2.7308066175059315E-01 a       450     0    23     1    10
 -1.5744347898769878E-01 a       451     0    23     1    11
 -9.5056066670470687E-02 a       452     0    23     1    12
 -3.6721236966021947E-02 a       453     0    23     1    13
 -2.7932847420359252E-01 a       454     0    23     1    14
  1.3478503076235920E-01 a       455     0    23     1    15
  2.9302896583746113E-01 a       456     0    23     1    16
  2.5677796789872337E-02 a       457     0    23     1    17
 -2.5093903494687031E-01 a       458     0    23     1    18
 -1.8688960629759513E-01 a       459     0    23     1    19
  5.2391541551726199E-02 a       460     0    23     1    20
 -1.2355474197137332E-01 a       461     0    24     1     1
  3.5014858011135318E-02 a       462     0    24     1     2
 -2.8715265802001733E-01 a       463     0    24     1     3
  1.9427595283434415E-01 a       464     0    24     1     4
  3.5395797222458719E-01 a       465     0    24     1     5
  4.6116615060953903E-01 a       466     0    24     1     6
 -2.3626114256024523E-03 a       467     0    24     1     7
 -3.0575306431639554E-01 a       468     0    24     1     8
  1.3078331098826934E-01 a       469     0    24     1     9
 -2.5783349395172939E-01 a       470     0    24     1    10
  4.3061925408726262E-02 a       471     0    24     1    11
 -2.5228391337733791E-01 a       472     0    24     1    12
  1.6555151281474714E-01 a       473     0    24     1    13
  1.1652515766676212E-01 a       474     0    24     1    14
 -2.7520299784002877E-01 a       475     0    24     1    15
  3.1001915737440513E-02 a       476     0    24     1    16
 -1.9102957787366870E-01 a       477     0    24     1    17
  4.7821855488490433E-01 a       478     0    24     1    18
  2.2580584671981771E-01 a       479     0    24     1    19
  7.4950313595989207E-02 a       480     0    24     1    20
  2.2417650575302331E-01 a       481     0    25     1     1
 -1.1475088868824167E-01 a       482     0    25     1     2
 -2.2216101231876240E-01 a       483     0    25     1     3
  1.7397289618927839E-01 a       484     0    25     1     4
 -1.1946220026439969E-01 a       485     0    25     1     5
 -1.9627951983180525E-01 a       486     0    25     1     6
 -2.8167832962299255E-01 a       487     0    25     1     7
  1.1502123910741843E-02 a       488     0    25     1     8
  1.1482297125107468E-01 a       489     0    25     1     9
  2.5306722702394641E-01 a       490     0    25     1    10
  1.4674724249568569E-01 a       491     0    25     1    11
  4.2106866553236963E-03 a       492     0    25     1    12
  8.7687409911402614E-02 a       493     0    25     1    13
  2.6764236598949213E-02 a       494     0    25     1    14
 -2.0146555607489944E-01 a       495     0    25     1    15
  2.9454738633571387E-02 a       496     0    25     1    16
 -6.7914978159752504E-02 a       497     0    25     1    17
  8.5871742225620842E-02 a       498     0    25     1    18
  2.9192248174903757E-01 a       499     0    25     1    19
