################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7175931441719125E-01 a         1     0     1     1     1
  3.4324812767187317E-02 a         2     0     1     1     2
  3.1721296114555469E-01 a         3     0     1     1     3
 -5.4910754279743668E-01 a         4     0     1     1     4
 -2.3323198328484368E-02 a         5     0     1     1     5
 -1.8995689863063370E-01 a         6     0     1     1     6
  2.9622650613867807E-01 a         7     0     1     1     7
  2.3839484745528475E-01 a         8     0     1     1     8
 -3.2745683986744206E-01 a         9     0     1     1     9
  8.7990836149539842E-02 a        10     0     1     1    10
 -3.6079429336070201E-01 a        11     0     1     1    11
  2.8965979626864596E-01 a        12     0     1     1    12
  1.5751641884626449E-02 a        13     0     1     1    13
 -4.0640000103411300E-01 a        14     0     1     1    14
  4.7086620634799314E-01 a        15     0     1     1    15
 -1.7692424303096438E-01 a        16     0     1     1    16
 -4.6001939148624649E-01 a        17     0     1     1    17
  3.8725102665073152E-01 a        18     0     1     1    18
  3.0565806632910997E-03 a        19     0     1     1    19
  3.1366911045640916E-01 a        20     0     1     1    20
  2.1782768002941605E-01 a        21     0     2     1     1
 -5.0432927169512309E-01 a        22     0     2     1     2
  2.8621140352587793E-01 a        23     0     2     1     3
  5.0281169925374392E-01 a        24     0     2     1     4
  2.3364761158798184E-02 a        25     0     2     1     5
  2.3455418650273593E-01 a        26     0     2     1     6
  9.3848528876952341E-03 a        27     0     2     1     7
  2.9037914328700523E-02 a        28     0     2     1     8
  2.1879566029023684E-01 a        29     0     2     1     9
 -1.0697025911958484E-01 a        30     0     2     1    10
  3.4893614832075243E-01 a        31     0     2     1    11
 -2.5436920063068341E-01 a        32     0     2     1    12
  1.2634373666177778E-01 a        33     0     2     1    13
  2.9951070080013209E-01 a        34     0     2     1    14
 -4.4605039582616260E-02 a        35     0     2     1    15
 -3.9750261108578766E-01 a        36     0     2     1    16
  4.8703938785262835E-01 a        37     0     2     1    17
  1.0340649232360846E-01 a        38     0     2     1    18
 -1.5089536233485415E-01 a        39     0     2     1    19
  4.4277411477533279E-02 a        40     0     2     1    20
 -4.9346800230068939E-02 a        41     0     3     1     1
 -6.3387543081631414E-02 a        42     0     3     1     2
 -3.9794087427288793E-01 a        43     0     3     1     3
  1.6535778866333550E-01 a        44     0     3     1     4
  6.6409974146355369E-02 a        45     0     3     1     5
  1.6691407500354805E-01 a        46     0     3     1     6
  1.9126295663646556E-02 a        47     0     3     1     7
 -7.3127733336636525E-02 a        48     0     3     1     8
  1.0386243045336871E-01 a        49     0     3     1     9
 -1.9291133562782328E-01 a        50     0     3     1    10
  3.6687604956732994E-01 a        51     0     3     1    11
 -3.9311092129760977E-01 a        52     0     3     1    12
 -2.0525309163782104E-01 a        53     0     3     1    13
 -1.3382262427803771E-01 a        54     0     3     1    14
 -1.9399161123527936E-01 a        55     0     3     1    15
 -2.9659040743440634E-01 a        56     0     3     1    16
  2.9182540107971822E-01 a        57     0     3     1    17
 -5.5786437030978686E-02 a        58     0     3     1    18
 -1.8706503217260015E-01 a        59     0     3     1    19
  2.1552047601159977E-01 a        60     0     3     1    20
 -2.1715535213298079E-01 a        61     0     4     1     1
  2.3983814476372550E-01 a        62     0     4     1     2
 -3.1619253122134910E-01 a        63     0     4     1     3
 -9.2353119722006757E-02 a        64     0     4     1     4
 -1.3962574611179109E-02 a        65     0     4     1     5
  7.0126070503865212E-02 a        66     0     4     1     6
 -1.3788217148445581E-01 a        67     0     4     1     7
 -3.3431467900595264E-02 a        68     0     4     1     8
  4.0238610782620998E-01 a        69     0     4     1     9
 -1.2076399112756059E-01 a        70     0     4     1    10
 -3.7075451836877377E-01 a        71     0     4     1    11
  1.8400617016128412E-01 a        72     0     4     1    12
 -3.2400698759678942E-01 a        73     0     4     1    13
 -8.5605810703014970E-02 a        74     0     4     1    14
 -2.5727593925069364E-01 a        75     0     4     1    15
  2.9268757741309248E-01 a        76     0     4     1    16
 -2.6369036468975188E-01 a        77     0     4     1    17
 -4.9724693515490348E-01 a        78     0     4     1    18
  7.4192481581833308E-02 a        79     0     4     1    19
 -3.8543904623302300E-01 a        80     0     4     1    20
 -8.9099447627953923E-02 a        81     0     5     1     1
  8.7017630775594670E-02 a        82     0     5     1     2
  1.7013140435679330E-01 a        83     0     5     1     3
  1.9226053911936838E-01 a        84     0     5     1     4
 -1.9847695557814735E-01 a        85     0     5     1     5
 -2.5511037653698115E-01 a        86     0     5     1     6
 -2.1286246148031188E-01 a        87     0     5     1     7
 -4.6786505011717633E-01 a        88     0     5     1     8
 -2.1183309031958927E-01 a        89     0     5     1     9
  2.4043051709175237E-01 a        90     0     5     1    10
 -1.9397939718322443E-02 a        91     0     5     1    11
  4.1418576299030962E-01 a        92     0     5     1    12
  5.0437661262322342E-01 a        93     0     5     1    13
  3.4106091587925391E-01 a        94     0     5     1    14
 -2.2342340447091558E-01 a        95     0     5     1    15
  4.5772411569201998E-01 a        96     0     5     1    16
 -3.4701366018877283E-01 a        97     0     5     1    17
 -4.3148344376185038E-01 a        98     0     5     1    18
  4.2679148375661802E-01 a        99     0     5     1    19
