################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6336118435934618E-01 a         1     0     1     1     1
  3.5537889921332655E-01 a         2     0     1     1     2
  2.2062046844352229E-01 a         3     0     1     1     3
 -1.4535254924457425E-01 a         4     0     1     1     4
  1.4121113318884380E-02 a         5     0     1     1     5
 -1.3158237949869303E-01 a         6     0     1     1     6
  1.2444887427678988E-01 a         7     0     1     1     7
  1.8008095918301786E-01 a         8     0     1     1     8
 -4.1726438253798875E-02 a         9     0     1     1     9
 -3.0169005044874142E-01 a        10     0     1     1    10
 -7.2608592211298006E-02 a        11     0     1     1    11
  4.3636747611252547E-01 a        12     0     1     1    12
 -3.3486501496116183E-01 a        13     0     1     1    13
  1.1135238999845582E-03 a        14     0     1     1    14
  2.6529575727094828E-01 a        15     0     1     1    15
 -1.3523248407437033E-01 a        16     0     1     1    16
  2.4160251033327934E-01 a        17     0     1     1    17
 -2.9498662817455568E-01 a        18     0     1     1    18
 -3.0878510703171974E-01 a        19     0     1     1    19
 -3.3283362314872011E-01 a        20     0     1     1    20
  3.5498897041057681E-01 a        21     0     2     1     1
 -3.0913987907376084E-01 a        22     0     2     1     2
 -1.8902892244775388E-01 a        23     0     2     1     3
  4.0831102917026235E-01 a        24     0     2     1     4
 -2.5125447857923977E-01 a        25     0     2     1     5
  2.7157961722245427E-01 a        26     0     2     1     6
 -1.7560752509647790E-01 a        27     0     2     1     7
  1.2621851725750133E-01 a        28     0     2     1     8
  1.5333230290772917E-01 a        29     0     2     1     9
  3.1999283571974868E-01 a        30     0     2     1    10
  3.2237578741458472E-01 a        31     0     2     1    11
 -8.8775698085279159E-02 a        32     0     2     1    12
  3.7127403553656707E-01 a        33     0     2     1    13
 -1.7169523970308040E-01 a        34     0     2     1    14
 -2.9967490102833233E-01 a        35     0     2     1    15
  4.2951839972557765E-01 a        36     0     2     1    16
 -3.7684921510645353E-01 a        37     0     2     1    17
  3.8586179706327944E-01 a        38     0     2     1    18
  5.5229454416526003E-01 a        39     0     2     1    19
  1.0999173245890709E-01 a        40     0     2     1    20
 -6.1492647407775151E-02 a        41     0     3     1     1
 -1.3194767508007310E-01 a        42     0     3     1     2
  1.4841636063969157E-01 a        43     0     3     1     3
  1.4789423591442424E-01 a        44     0     3     1     4
  3.4314943324957009E-01 a        45     0     3     1     5
  2.9038211559750682E-01 a        46     0     3     1     6
 -9.5450089761649030E-03 a        47     0     3     1     7
 -2.2217549544761336E-01 a        48     0     3     1     8
 -2.4831315390440473E-01 a        49     0     3     1     9
 -2.9572750823563659E-01 a        50     0     3     1    10
  2.7685417664797110E-02 a        51     0     3     1    11
 -4.5136232902541557E-01 a        52     0     3     1    12
  2.0126628614705408E-01 a        53     0     3     1    13
  3.5075412375842924E-01 a        54     0     3     1    14
  3.8380047843178244E-01 a        55     0     3     1    15
 -7.0247798983284149E-02 a        56     0     3     1    16
  3.8823428664339521E-01 a        57     0     3     1    17
 -1.9144811719500962E-01 a        58     0     3     1    18
  7.9226643925526322E-02 a        59     0     3     1    19
 -1.8417152368834785E-01 a        60     0     3     1    20
 -4.4635658173484521E-01 a        61     0     4     1     1
 -7.6146102823561407E-02 a        62     0     4     1     2
 -3.3932002087665315E-02 a        63     0     4     1     3
 -3.8771986731059865E-01 a        64     0     4     1     4
 -4.6004488574802727E-01 a        65     0     4     1     5
  3.1476219968943764E-01 a        66     0     4     1     6
  7.4791182056976158E-02 a        67     0     4     1     7
 -1.7113641973625424E-01 a        68     0     4     1     8
  2.4985794566972841E-01 a        69     0     4     1     9
  3.8063212493486570E-01 a        70     0     4     1    10
 -1.1187740185748649E-01 a        71     0     4     1    11
 -1.7729067011714356E-01 a        72     0     4     1    12
  2.5479213437901022E-01 a        73     0     4     1    13
 -2.5440666010764212E-01 a        74     0     4     1    14
  3.7236504657197850E-01 a        75     0     4     1    15
 -3.4680201252744869E-01 a        76     0     4     1    16
 -1.8197564806892530E-01 a        77     0     4     1    17
 -9.1844446105423208E-02 a        78     0     4     1    18
 -3.8736778579968029E-01 a        79     0     4     1    19
  4.2100875503236185E-01 a        80     0     4     1    20
  3.0497395603064947E-01 a        81     0     5     1     1
 -2.6373101654924008E-01 a        82     0     5     1     2
 -2.4047975500692140E-01 a        83     0     5     1     3
  2.8914376734606567E-01 a        84     0     5     1     4
 -1.0522082262558162E-01 a        85     0     5     1     5
 -3.4352862382711313E-01 a        86     0     5     1     6
  2.2225201580789369E-01 a        87     0     5     1     7
 -2.4414479802495098E-01 a        88     0     5     1     8
  3.8522409117054690E-01 a        89     0     5     1     9
  1.6554059436157559E-01 a        90     0     5     1    10
 -2.3029949058623722E-01 a        91     0     5     1    11
  2.9606667421385752E-01 a        92     0     5     1    12
 -2.7283098931744271E-01 a        93     0     5     1    13
 -3.4847122728218755E-01 a        94     0     5     1    14
  1.3432091203250425E-02 a        95     0     5     1    15
  3.7895175878931087E-01 a        96     0     5     1    16
 -3.5663277557162959E-01 a        97     0     5     1    17
  2.7752130815472775E-01 a        98     0     5     1    18
  1.5277455024917033E-01 a        99     0     5     1    19
  2.7603331261509106E-01 a       100     0     5     1    20
  4.4162083147055908E-01 a       101     0     6     1     1
 -3.1436742108910776E-01 a       102     0     6     1     2
 -1.0777197075372749E-01 a       103     0     6     1     3
 -1.9367390432711587E-01 a       104     0     6     1     4
 -1.3829877710307353E-01 a       105     0     6     1     5
 -1.6250169664700764E-01 a       106     0     6     1     6
 -4.9974613178846501E-02 a       107     0     6     1     7
 -2.1900607311952081E-02 a       108     0     6     1     8
 -3.4369750106546887E-01 a       109     0     6     1     9
  2.7735756005787421E-01 a       110     0     6     1    10
  1.8452998847429986E-01 a       111     0     6     1    11
  7.7639097234993265E-02 a       112     0     6     1    12
  4.2365494633065964E-02 a       113     0     6     1    13
  1.3568749094842006E-01 a       114     0     6     1    14
  1.4769049320452504E-01 a       115     0     6     1    15
  2.8200253551759341E-01 a       116     0     6     1    16
 -1.5205254381044658E-01 a       117     0     6     1    17
 -3.7339676069056477E-01 a       118     0     6     1    18
  1.8911559203249334E-01 a       119     0     6     1    19
 -1.5738262082349383E-01 a       120     0     6     1    20
 -4.7177583488004560E-01 a       121     0     7     1     1
  3.2450026946092553E-01 a       122     0     7     1     2
  1.8167950772390942E-02 a       123     0     7     1     3
  6.2154875265347895E-02 a       124     0     7     1     4
 -2.3627925548645859E-01 a       125     0     7     1     5
  1.9823181703469367E-01 a       126     0     7     1     6
  1.9564667442918104E-01 a       127     0     7     1     7
  2.3597040836701413E-01 a       128     0     7     1     8
 -2.6543334784534700E-01 a       129     0     7     1     9
  5.7644276600611534E-02 a       130     0     7     1    10
  1.4083626603780836E-01 a       131     0     7     1    11
 -3.7825831212995081E-01 a       132     0     7     1    12
  1.7799870015287289E-01 a       133     0     7     1    13
 -2.6917223079313018E-01 a       134     0     7     1    14
 -4.9010009731606247E-01 a       135     0     7     1    15
 -3.1880703793436782E-01 a       136     0     7     1    16
  2.7066274097749699E-01 a       137     0     7     1    17
 -2.1588190288025613E-01 a       138     0     7     1    18
 -3.3061949479695596E-01 a       139     0     7     1    19
  2.0116828554752211E-01 a       140     0     7     1    20
  2.3837073312734303E-01 a       141     0     8     1     1
  5.7402039922100107E-02 a       142     0     8     1     2
  1.5237858274525104E-01 a       143     0     8     1     3
  1.2691208685947492E-01 a       144     0     8     1     4
 -1.7095446894516184E-01 a       145     0     8     1     5
 -1.8391409230517999E-01 a       146     0     8     1     6
 -7.2112639208885776E-02 a       147     0     8     1     7
  1.6845101233084181E-01 a       148     0     8     1     8
  2.2890074614612749E-01 a       149     0     8     1     9
 -1.6409398650688570E-01 a       150     0     8     1    10
  8.3460507451421584E-02 a       151     0     8     1    11
 -7.5323443724100492E-02 a       152     0     8     1    12
  9.3860976232630830E-02 a       153     0     8     1    13
 -3.1790861886364008E-01 a       154     0     8     1    14
 -2.1351006595485564E-01 a       155     0     8     1    15
 -1.0469952387720992E-01 a       156     0     8     1    16
  2.3787235089242106E-01 a       157     0     8     1    17
  3.7567215948017429E-01 a       158     0     8     1    18
  2.3603574822074072E-01 a       159     0     8     1    19
 -2.0570505214381260E-01 a       160     0     8     1    20
 -7.7358303172108872E-02 a       161     0     9     1     1
 -5.2370942133442533E-01 a       162     0     9     1     2
  2.1655453588138995E-01 a       163     0     9     1     3
