################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9600209741469615E-01 a         1     0     1     1     1
  1.6087295856274683E-01 a         2     0     1     1     2
  1.5305739591036882E-01 a         3     0     1     1     3
 -1.2503100130220565E-01 a         4     0     1     1     4
 -1.1336764396064139E-01 a         5     0     1     1     5
  3.7453401419369370E-01 a         6     0     1     1     6
  1.1604025222627352E-01 a         7     0     1     1     7
 -4.6322658470991547E-02 a         8     0     1     1     8
  1.6804809422527819E-01 a         9     0     1     1     9
  2.9149084770311351E-01 a        10     0     1     1    10
  5.7497200792599601E-01 a        11     0     1     1    11
 -3.6921269038784055E-01 a        12     0     1     1    12
 -4.2348136299921631E-02 a        13     0     1     1    13
 -7.9444383288611503E-02 a        14     0     1     1    14
  1.6651766032747134E-01 a        15     0     1     1    15
 -1.4799520169905520E-01 a        16     0     1     1    16
  1.7731989245731994E-01 a        17     0     1     1    17
  2.9384627167115246E-01 a        18     0     1     1    18
 -1.1292456798404592E-01 a        19     0     1     1    19
 -3.3688875086114001E-01 a        20     0     1     1    20
  2.5829437085293550E-01 a        21     0     2     1     1
  5.6729499883669370E-02 a        22     0     2     1     2
 -3.9579458609323515E-01 a        23     0     2     1     3
  8.3719523842742422E-02 a        24     0     2     1     4
  1.3545924171511806E-01 a        25     0     2     1     5
 -1.2496292161522782E-01 a        26     0     2     1     6
  1.9828505846181688E-01 a        27     0     2     1     7
 -1.0145217672209786E-01 a        28     0     2     1     8
  4.1394984574605054E-01 a        29     0     2     1     9
  4.8985766078199910E-01 a        30     0     2     1    10
 -3.8941041747045668E-01 a        31     0     2     1    11
  7.5088200600657046E-02 a        32     0     2     1    12
 -1.6088227496428403E-01 a        33     0     2     1    13
 -2.0438161747751742E-02 a        34     0     2     1    14
 -4.0298881596356101E-01 a        35     0     2     1    15
 -8.4967451646890957E-02 a        36     0     2     1    16
  1.5280382626005315E-01 a        37     0     2     1    17
  2.3121805898788480E-02 a        38     0     2     1    18
  1.7284396159571325E-01 a        39     0     2     1    19
  2.8836552040104158E-01 a        40     0     2     1    20
 -1.3618784977697784E-01 a        41     0     3     1     1
  9.7128219594821551E-03 a        42     0     3     1     2
  5.1132500604594462E-02 a        43     0     3     1     3
  1.9318536325508534E-03 a        44     0     3     1     4
 -6.3495870775637120E-02 a        45     0     3     1     5
 -4.4613972193224721E-01 a        46     0     3     1     6
  7.5585360242442487E-02 a        47     0     3     1     7
 -4.0134402409545028E-01 a        48     0     3     1     8
 -9.1763661836619367E-02 a        49     0     3     1     9
 -3.2036876134293696E-01 a        50     0     3     1    10
 -2.6543996732319469E-01 a        51     0     3     1    11
  1.5170920093067033E-01 a        52     0     3     1    12
 -1.5768210627113857E-01 a        53     0     3     1    13
  9.1170351953250642E-02 a        54     0     3     1    14
  1.3997753754111500E-01 a        55     0     3     1    15
  3.7607126452893092E-01 a        56     0     3     1    16
 -5.6465197945879272E-02 a        57     0     3     1    17
 -2.4840049216043153E-01 a        58     0     3     1    18
 -3.6264694096873740E-01 a        59     0     3     1    19
  7.5454779619013049E-02 a        60     0     3     1    20
 -5.5222631913202792E-02 a        61     0     4     1     1
 -7.9884062112969528E-02 a        62     0     4     1     2
  3.3097425964768701E-01 a        63     0     4     1     3
 -3.3330568419751666E-01 a        64     0     4     1     4
 -4.5756134272675963E-01 a        65     0     4     1     5
  9.4058584118967573E-02 a        66     0     4     1     6
  1.7105797807960693E-01 a        67     0     4     1     7
  1.3194473879087418E-01 a        68     0     4     1     8
  2.0766086235644204E-01 a        69     0     4     1     9
  1.7985522968881304E-01 a        70     0     4     1    10
  2.6022755563082306E-01 a        71     0     4     1    11
  2.1651769402510229E-01 a        72     0     4     1    12
 -1.0724203327801810E-01 a        73     0     4     1    13
  2.3607189738231821E-01 a        74     0     4     1    14
 -6.6973082187533589E-02 a        75     0     4     1    15
 -1.1806410096793193E-01 a        76     0     4     1    16
  8.8547436975633623E-02 a        77     0     4     1    17
  3.6812818304940348E-01 a        78     0     4     1    18
 -2.7538830837618752E-02 a        79     0     4     1    19
 -3.4126223423190510E-01 a        80     0     4     1    20
  2.8286986596584174E-01 a        81     0     5     1     1
 -4.0412007912141840E-01 a        82     0     5     1     2
  3.6902022952493585E-01 a        83     0     5     1     3
  3.2435998410880612E-01 a        84     0     5     1     4
  2.2569518013713388E-01 a        85     0     5     1     5
 -2.5738343106870820E-01 a        86     0     5     1     6
 -3.7800244443500675E-01 a        87     0     5     1     7
  5.5943635297447247E-01 a        88     0     5     1     8
 -3.0325059523425529E-01 a        89     0     5     1     9
 -3.1514247108398563E-01 a        90     0     5     1    10
 -3.8757894248207046E-02 a        91     0     5     1    11
  4.9464076729113643E-01 a        92     0     5     1    12
  4.5507460474638656E-01 a        93     0     5     1    13
 -2.9903196895276773E-01 a        94     0     5     1    14
  3.1572257619798078E-01 a        95     0     5     1    15
  1.9510671553205408E-01 a        96     0     5     1    16
  2.0286161344474846E-01 a        97     0     5     1    17
  2.0424133604841752E-01 a        98     0     5     1    18
  3.8739494079309289E-01 a        99     0     5     1    19
  1.2676051174203887E-01 a       100     0     5     1    20
 -3.6450410672977612E-01 a       101     0     6     1     1
 -9.2316972921466414E-02 a       102     0     6     1     2
 -3.4626007047115820E-01 a       103     0     6     1     3
  1.2566523825878101E-01 a       104     0     6     1     4
 -2.4466878955056301E-01 a       105     0     6     1     5
  4.8357218100612845E-02 a       106     0     6     1     6
 -1.7588602611739043E-02 a       107     0     6     1     7
 -1.6508219683883666E-02 a       108     0     6     1     8
  9.5170371048884983E-02 a       109     0     6     1     9
  1.1444166306833276E-01 a       110     0     6     1    10
  3.0573623786908116E-01 a       111     0     6     1    11
 -1.1413060751101514E-01 a       112     0     6     1    12
 -9.7167711392943862E-02 a       113     0     6     1    13
 -2.1505060660795738E-01 a       114     0     6     1    14
 -1.4644146109721440E-01 a       115     0     6     1    15
  4.7088031640591560E-01 a       116     0     6     1    16
  3.6592258395313861E-02 a       117     0     6     1    17
  2.5044142616394555E-01 a       118     0     6     1    18
  1.0658529636284171E-01 a       119     0     6     1    19
 -2.0065761229407067E-01 a       120     0     6     1    20
  3.7380047617588855E-02 a       121     0     7     1     1
  3.8582267632858838E-02 a       122     0     7     1     2
 -1.7242825689860591E-01 a       123     0     7     1     3
 -4.9105969286542456E-01 a       124     0     7     1     4
  3.1486995517462468E-01 a       125     0     7     1     5
 -3.1814651683231920E-01 a       126     0     7     1     6
 -4.9181795913213422E-01 a       127     0     7     1     7
 -6.7546098349474212E-02 a       128     0     7     1     8
 -5.7315526171328408E-02 a       129     0     7     1     9
  2.9830776088847849E-01 a       130     0     7     1    10
  4.1245188862158449E-01 a       131     0     7     1    11
 -1.7464822115374951E-01 a       132     0     7     1    12
  3.3488524512611106E-01 a       133     0     7     1    13
 -1.4258892266741524E-01 a       134     0     7     1    14
  1.4534010522057103E-01 a       135     0     7     1    15
  3.4345783426681753E-01 a       136     0     7     1    16
 -2.6469418000915135E-01 a       137     0     7     1    17
 -1.3968130608879754E-02 a       138     0     7     1    18
  2.3520461076219115E-01 a       139     0     7     1    19
 -2.7544901810368017E-01 a       140     0     7     1    20
 -1.6175112100782166E-01 a       141     0     8     1     1
  7.2011072023582239E-03 a       142     0     8     1     2
  4.7020298690280848E-01 a       143     0     8     1     3
  2.0709797925468793E-01 a       144     0     8     1     4
 -2.8360356778404516E-01 a       145     0     8     1     5
 -2.1090506534259257E-01 a       146     0     8     1     6
  3.4444708610508190E-01 a       147     0     8     1     7
 -2.1840841576895326E-01 a       148     0     8     1     8
 -1.1133719419209444E-01 a       149     0     8     1     9
 -1.9577087549347288E-01 a       150     0     8     1    10
  1.4633270675904864E-01 a       151     0     8     1    11
  2.1081341685306115E-01 a       152     0     8     1    12
  5.3649211419596936E-02 a       153     0     8     1    13
  2.5655326127810590E-01 a       154     0     8     1    14
 -3.7114940264204928E-02 a       155     0     8     1    15
  3.8276065744445459E-01 a       156     0     8     1    16
 -3.7897554142827111E-01 a       157     0     8     1    17
  4.3549925827012914E-01 a       158     0     8     1    18
 -2.3907007978050920E-01 a       159     0     8     1    19
 -4.1782332357175311E-01 a       160     0     8     1    20
  4.5927072093079258E-01 a       161     0     9     1     1
  2.3652193783042308E-01 a       162     0     9     1     2
 -2.1452616926031531E-03 a       163     0     9     1     3
  2.9571549539537478E-01 a       164     0     9     1     4
 -3.1124597433018170E-01 a       165     0     9     1     5
  2.5383500114479496E-01 a       166     0     9     1     6
 -3.6241134418144227E-01 a       167     0     9     1     7
  3.7912298790031239E-02 a       168     0     9     1     8
  5.0238830118187883E-01 a       169     0     9     1     9
  2.0917106095310217E-01 a       170     0     9     1    10
  3.2631872758923092E-01 a       171     0     9     1    11
  2.7538006590929552E-02 a       172     0     9     1    12
 -4.2038915231511339E-04 a       173     0     9     1    13
  4.8133121053811639E-01 a       174     0     9     1    14
  3.5459537390306600E-01 a       175     0     9     1    15
 -3.0303683621063594E-02 a       176     0     9     1    16
  3.1316998099983812E-01 a       177     0     9     1    17
  1.2436974190850680E-01 a       178     0     9     1    18
 -3.1870510765536947E-01 a       179     0     9     1    19
  2.1896110279992648E-01 a       180     0     9     1    20
 -1.1827275385458837E-01 a       181     0    10     1     1
  2.4235672692631223E-02 a       182     0    10     1     2
 -5.5604063758650968E-01 a       183     0    10     1     3
 -3.0341797530774461E-01 a       184     0    10     1     4
  3.0903685631658206E-01 a       185     0    10     1     5
 -2.1286817570193992E-01 a       186     0    10     1     6
 -1.0337719589235338E-01 a       187     0    10     1     7
 -2.5536842099357221E-01 a       188     0    10     1     8
  2.7948244279593060E-01 a       189     0    10     1     9
  3.7206754783220564E-01 a       190     0    10     1    10
 -1.9309229192288815E-01 a       191     0    10     1    11
 -1.3984087226701565E-02 a       192     0    10     1    12
  3.8869537360873696E-01 a       193     0    10     1    13
  1.5109473097742734E-01 a       194     0    10     1    14
  2.7736153340542818E-01 a       195     0    10     1    15
 -4.2740519158887497E-01 a       196     0    10     1    16
  1.6266315558717337E-01 a       197     0    10     1    17
 -4.8772064578732754E-01 a       198     0    10     1    18
 -1.7458093414502440E-01 a       199     0    10     1    19
  3.1905399936690851E-02 a       200     0    10     1    20
  2.0812328579674569E-01 a       201     0    11     1     1
  2.6536588597615912E-01 a       202     0    11     1     2
  1.4902121939468453E-02 a       203     0    11     1     3
  9.6575876270161787E-02 a       204     0    11     1     4
