################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.5155635943141453E-02 a         1     0     1     1     1
  6.2501708164324321E-02 a         2     0     1     1     2
 -1.1048575635030233E-01 a         3     0     1     1     3
  1.7269555015630653E-01 a         4     0     1     1     4
 -2.6414102592595673E-01 a         5     0     1     1     5
 -2.2162544388483235E-01 a         6     0     1     1     6
 -1.1179703251596497E-01 a         7     0     1     1     7
 -4.5014134776358621E-02 a         8     0     1     1     8
  3.1565032507004054E-01 a         9     0     1     1     9
 -3.2296955537150056E-02 a        10     0     1     1    10
 -1.4805511717917218E-03 a        11     0     1     1    11
 -8.5659894637405518E-02 a        12     0     1     1    12
 -3.9724106692654269E-02 a        13     0     1     1    13
 -1.5232599363588673E-01 a        14     0     1     1    14
 -2.6020252797322718E-01 a        15     0     1     1    15
  8.3922171038950402E-02 a        16     0     1     1    16
  1.9194695604599421E-01 a        17     0     1     1    17
 -2.0285260253966644E-01 a        18     0     1     1    18
 -1.6908141316435638E-01 a        19     0     1     1    19
  2.1375889442630516E-01 a        20     0     1     1    20
  2.3827793087026949E-01 a        21     0     2     1     1
  3.1121153568520171E-01 a        22     0     2     1     2
 -3.2685546719804848E-01 a        23     0     2     1     3
 -1.5476364460762557E-01 a        24     0     2     1     4
 -2.4464566906984363E-02 a        25     0     2     1     5
  1.4239829957768499E-01 a        26     0     2     1     6
  3.7528889842853741E-01 a        27     0     2     1     7
  1.1372219610749329E-01 a        28     0     2     1     8
  2.7684543655105565E-01 a        29     0     2     1     9
  5.5407931440304892E-04 a        30     0     2     1    10
  1.0758374169753726E-01 a        31     0     2     1    11
 -3.4180613451249492E-01 a        32     0     2     1    12
 -6.4675654028365712E-02 a        33     0     2     1    13
  4.8654278176388684E-02 a        34     0     2     1    14
  3.8387636064024400E-01 a        35     0     2     1    15
 -4.2967636597325224E-03 a        36     0     2     1    16
  5.5395613871598623E-02 a        37     0     2     1    17
 -4.5454162617011636E-02 a        38     0     2     1    18
 -2.8857374076320669E-01 a        39     0     2     1    19
 -1.3750821536772923E-02 a        40     0     2     1    20
 -7.7626531170848180E-03 a        41     0     3     1     1
  1.8299681513906621E-01 a        42     0     3     1     2
 -1.5486546704468934E-01 a        43     0     3     1     3
  5.5384356616087399E-02 a        44     0     3     1     4
 -3.6253388904603467E-01 a        45     0     3     1     5
 -1.7848389107530985E-01 a        46     0     3     1     6
  1.6668530633615766E-01 a        47     0     3     1     7
  5.6962093137257863E-01 a        48     0     3     1     8
 -4.1810427156392371E-01 a        49     0     3     1     9
  2.5284363557414263E-01 a        50     0     3     1    10
 -2.1695263025259506E-01 a        51     0     3     1    11
 -7.5389835286491749E-02 a        52     0     3     1    12
 -2.7305124780453521E-02 a        53     0     3     1    13
 -6.9803806312833255E-02 a        54     0     3     1    14
 -4.3027882127014677E-01 a        55     0     3     1    15
  3.0182183819793001E-01 a        56     0     3     1    16
 -1.0122940730952462E-01 a        57     0     3     1    17
  7.7896782282284985E-02 a        58     0     3     1    18
 -1.9409165816566235E-01 a        59     0     3     1    19
  5.5641648245378067E-02 a        60     0     3     1    20
  7.4979019224769600E-02 a        61     0     4     1     1
 -2.9226701916433595E-01 a        62     0     4     1     2
 -2.9654681995481214E-01 a        63     0     4     1     3
 -4.7943731899525183E-01 a        64     0     4     1     4
  4.2719084376556588E-01 a        65     0     4     1     5
 -2.9197077600280869E-01 a        66     0     4     1     6
  2.8310281420740296E-01 a        67     0     4     1     7
 -1.5660296921313591E-01 a        68     0     4     1     8
