################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3722682547546901E-01 a         1     0     1     1     1
 -2.8499152654184329E-01 a         2     0     1     1     2
  3.0071596801754721E-02 a         3     0     1     1     3
 -3.0613600168922085E-03 a         4     0     1     1     4
 -7.3830924203558773E-02 a         5     0     1     1     5
 -2.2266209505347925E-02 a         6     0     1     1     6
 -9.2163632657107947E-02 a         7     0     1     1     7
 -4.3752259913970104E-01 a         8     0     1     1     8
  1.2054851337370870E-01 a         9     0     1     1     9
  1.4130720172891251E-01 a        10     0     1     1    10
 -1.2285725694034486E-01 a        11     0     1     1    11
  1.4355295990210881E-01 a        12     0     1     1    12
 -2.5468021167247734E-01 a        13     0     1     1    13
 -2.9537170588318062E-01 a        14     0     1     1    14
  3.7970367874774404E-02 a        15     0     1     1    15
  3.0058755245966151E-01 a        16     0     1     1    16
  2.2044771632377971E-01 a        17     0     1     1    17
  2.8639276504851580E-01 a        18     0     1     1    18
  2.0551274578701209E-01 a        19     0     1     1    19
 -1.9094059306287017E-01 a        20     0     1     1    20
 -2.5760173834071469E-02 a        21     0     2     1     1
 -1.6303797841087200E-01 a        22     0     2     1     2
  3.3836574987507467E-01 a        23     0     2     1     3
  6.9453457652111611E-02 a        24     0     2     1     4
 -3.5694115267755205E-01 a        25     0     2     1     5
 -4.1250904027904295E-01 a        26     0     2     1     6
 -1.9790029463285047E-01 a        27     0     2     1     7
  4.0937804141294487E-01 a        28     0     2     1     8
 -2.5883255203640255E-02 a        29     0     2     1     9
  1.1623205679442038E-01 a        30     0     2     1    10
 -1.8789999991541406E-01 a        31     0     2     1    11
 -5.7811714298373250E-02 a        32     0     2     1    12
  2.3579022370006875E-01 a        33     0     2     1    13
  2.2446227482333267E-01 a        34     0     2     1    14
  2.0047001269704801E-01 a        35     0     2     1    15
  1.3587650796712245E-01 a        36     0     2     1    16
 -2.9281484347423786E-01 a        37     0     2     1    17
 -3.1803753810667601E-01 a        38     0     2     1    18
 -2.4111968579635829E-01 a        39     0     2     1    19
  3.3543882939453951E-01 a        40     0     2     1    20
 -4.8089539066022141E-01 a        41     0     3     1     1
  1.5256931825376172E-01 a        42     0     3     1     2
 -4.6523469644935755E-01 a        43     0     3     1     3
 -1.9090254717524058E-01 a        44     0     3     1     4
 -2.2198104430993179E-01 a        45     0     3     1     5
  2.1175520385208119E-01 a        46     0     3     1     6
 -1.3121419131521750E-01 a        47     0     3     1     7
  2.7947404355758245E-03 a        48     0     3     1     8
 -3.1963196580693659E-01 a        49     0     3     1     9
 -1.8803716239000185E-03 a        50     0     3     1    10
 -7.3522930657489216E-02 a        51     0     3     1    11
 -4.4446419356430643E-02 a        52     0     3     1    12
  3.0051642909433945E-01 a        53     0     3     1    13
  1.1982898912612676E-01 a        54     0     3     1    14
  2.5570323538634593E-01 a        55     0     3     1    15
 -2.8421681091364359E-01 a        56     0     3     1    16
 -4.0840179130015902E-01 a        57     0     3     1    17
  2.1038495541416166E-01 a        58     0     3     1    18
  7.5547805211079413E-02 a        59     0     3     1    19
  4.2616767639198766E-01 a        60     0     3     1    20
 -3.3562000716184970E-01 a        61     0     4     1     1
  1.1493880767086646E-01 a        62     0     4     1     2
 -9.1846445590021641E-02 a        63     0     4     1     3
  2.9575673763031279E-01 a        64     0     4     1     4
  2.9613689814539357E-01 a        65     0     4     1     5
  4.6680836093206468E-01 a        66     0     4     1     6
 -1.5556636770202605E-02 a        67     0     4     1     7
  4.4672449965359790E-01 a        68     0     4     1     8
  3.2205838569737300E-01 a        69     0     4     1     9
  4.4527575431227269E-02 a        70     0     4     1    10
  9.8532261625617332E-02 a        71     0     4     1    11
  2.9606956384096411E-01 a        72     0     4     1    12
  1.6653235660676832E-01 a        73     0     4     1    13
  1.0503487883480871E-01 a        74     0     4     1    14
 -1.7475538367638438E-01 a        75     0     4     1    15
 -3.8260168737313571E-01 a        76     0     4     1    16
 -4.1615033143581649E-02 a        77     0     4     1    17
 -3.0132232754510863E-01 a        78     0     4     1    18
  9.2478308799594774E-02 a        79     0     4     1    19
 -4.0323896314677964E-03 a        80     0     4     1    20
  4.7192092738288915E-01 a        81     0     5     1     1
 -3.8710405511380436E-01 a        82     0     5     1     2
 -1.5754670431861531E-02 a        83     0     5     1     3
  3.3646252366430963E-02 a        84     0     5     1     4
 -6.3867311400247220E-02 a        85     0     5     1     5
  1.8476369417033421E-02 a        86     0     5     1     6
  3.3932817432611291E-02 a        87     0     5     1     7
 -1.1207693788845854E-04 a        88     0     5     1     8
  5.0946777230692941E-01 a        89     0     5     1     9
  2.8619378069146822E-01 a        90     0     5     1    10
 -4.6425857891992933E-01 a        91     0     5     1    11
  2.3958482803285630E-01 a        92     0     5     1    12
  1.0827672864582617E-01 a        93     0     5     1    13
 -2.3600608011709979E-02 a        94     0     5     1    14
  1.5963445100468898E-01 a        95     0     5     1    15
  3.7818532532160465E-01 a        96     0     5     1    16
 -8.8482293798770213E-03 a        97     0     5     1    17
 -3.4987775474305316E-01 a        98     0     5     1    18
  2.1161168221086080E-01 a        99     0     5     1    19
 -3.2475573545652564E-01 a       100     0     5     1    20
  4.2560157959340245E-01 a       101     0     6     1     1
 -2.7941366826594088E-01 a       102     0     6     1     2
  4.3112852344096009E-01 a       103     0     6     1     3
 -1.3464819020782129E-01 a       104     0     6     1     4
 -1.9352569966969391E-01 a       105     0     6     1     5
 -1.4319230487176351E-01 a       106     0     6     1     6
