################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2693485763766699E-01 a         1     0     1     1     1
 -3.0568006076466792E-03 a         2     0     1     1     2
  1.0983514428935370E-01 a         3     0     1     1     3
 -1.6647371943806408E-01 a         4     0     1     1     4
 -8.3574387493829894E-02 a         5     0     1     1     5
  2.1838742390309033E-02 a         6     0     1     1     6
 -5.3497804989208336E-02 a         7     0     1     1     7
 -1.2183367087121920E-01 a         8     0     1     1     8
  6.9804044786190567E-02 a         9     0     1     1     9
  3.2699838245121321E-01 a        10     0     1     1    10
  4.6568548073025830E-02 a        11     0     1     1    11
 -1.1356041384170369E-01 a        12     0     1     1    12
 -4.2810456358728793E-01 a        13     0     1     1    13
 -2.9225916612673547E-01 a        14     0     1     1    14
 -8.0799133754220501E-02 a        15     0     1     1    15
 -2.8884911426724731E-02 a        16     0     1     1    16
 -9.5744790643866838E-03 a        17     0     1     1    17
  4.0648138994808666E-02 a        18     0     1     1    18
 -8.6615273451833313E-02 a        19     0     1     1    19
 -1.1219566233948731E-01 a        20     0     1     1    20
 -2.3511128669726267E-01 a        21     0     2     1     1
  9.8590588934071799E-02 a        22     0     2     1     2
 -7.6291824667762253E-03 a        23     0     2     1     3
  2.2714066014126619E-01 a        24     0     2     1     4
  2.2389313075535870E-02 a        25     0     2     1     5
  2.6322776412890880E-01 a        26     0     2     1     6
 -1.9958189081173028E-01 a        27     0     2     1     7
  1.0328672315467873E-01 a        28     0     2     1     8
  1.6126450289481539E-01 a        29     0     2     1     9
  2.7262521908962256E-01 a        30     0     2     1    10
 -3.5966499623334779E-02 a        31     0     2     1    11
  6.4541310968041748E-02 a        32     0     2     1    12
  1.0680731062116876E-01 a        33     0     2     1    13
  3.4577517928915991E-01 a        34     0     2     1    14
  2.5109260167385455E-01 a        35     0     2     1    15
 -2.2355468316262708E-01 a        36     0     2     1    16
 -1.2504970374114971E-01 a        37     0     2     1    17
 -1.6008051880224880E-01 a        38     0     2     1    18
 -2.2239717513819113E-01 a        39     0     2     1    19
  1.1424186374022294E-01 a        40     0     2     1    20
  1.7851838764055811E-01 a        41     0     3     1     1
  2.8557498132654382E-04 a        42     0     3     1     2
 -4.4483227030381316E-02 a        43     0     3     1     3
 -2.9406278516602680E-01 a        44     0     3     1     4
 -8.4920179598172885E-02 a        45     0     3     1     5
 -2.0171347094514971E-01 a        46     0     3     1     6
  2.1364676181133574E-01 a        47     0     3     1     7
  1.5528692159086174E-01 a        48     0     3     1     8
 -4.0464750557642137E-01 a        49     0     3     1     9
  7.8082626177393061E-02 a        50     0     3     1    10
  3.3607265063267983E-01 a        51     0     3     1    11
  1.1503606515603500E-01 a        52     0     3     1    12
  3.2281846140972981E-01 a        53     0     3     1    13
 -1.2033242523791431E-01 a        54     0     3     1    14
  5.5848669967266555E-02 a        55     0     3     1    15
  9.1662032498332435E-02 a        56     0     3     1    16
  2.9457601531984567E-01 a        57     0     3     1    17
  1.7701135982776325E-02 a        58     0     3     1    18
  1.8616348822369613E-01 a        59     0     3     1    19
  3.1686576390120191E-01 a        60     0     3     1    20
  1.5257673770060629E-01 a        61     0     4     1     1
 -2.8477237287173313E-01 a        62     0     4     1     2
  1.3033725134393070E-01 a        63     0     4     1     3
  3.0713123002114168E-01 a        64     0     4     1     4
  3.3690063342822424E-01 a        65     0     4     1     5
  2.8544374542453899E-01 a        66     0     4     1     6
  1.8242737226053424E-01 a        67     0     4     1     7
  3.6116601033344858E-01 a        68     0     4     1     8
  3.2240429247401670E-01 a        69     0     4     1     9
 -3.5757497160779644E-01 a        70     0     4     1    10
 -4.3551910969840318E-01 a        71     0     4     1    11
 -1.0743319506669582E-01 a        72     0     4     1    12
 -2.4690231890058670E-01 a        73     0     4     1    13
 -1.4159157190095562E-01 a        74     0     4     1    14
 -2.3606761600561105E-01 a        75     0     4     1    15
 -1.0354755243152536E-01 a        76     0     4     1    16
  1.8809144138326395E-01 a        77     0     4     1    17
 -5.9745911245979638E-02 a        78     0     4     1    18
 -5.1780749804796439E-02 a        79     0     4     1    19
 -4.4499541576871172E-02 a        80     0     4     1    20
 -5.5339876728919557E-01 a        81     0     5     1     1
  1.4992978908364665E-01 a        82     0     5     1     2
 -1.2626481538871626E-01 a        83     0     5     1     3
  2.1598923490528371E-01 a        84     0     5     1     4
 -1.1798927822926020E-01 a        85     0     5     1     5
 -1.5959107350058566E-01 a        86     0     5     1     6
 -1.0184652989911595E-01 a        87     0     5     1     7
 -1.1669912818643378E-01 a        88     0     5     1     8
  1.0559106838217204E-01 a        89     0     5     1     9
  9.9581977619830800E-02 a        90     0     5     1    10
 -4.3650907951333591E-02 a        91     0     5     1    11
  3.5317631514959114E-01 a        92     0     5     1    12
 -3.2603017994594967E-02 a        93     0     5     1    13
  4.0084270985674303E-01 a        94     0     5     1    14
 -2.4064628422889889E-01 a        95     0     5     1    15
  3.5219176414290770E-01 a        96     0     5     1    16
 -2.9259563359413704E-01 a        97     0     5     1    17
  2.8441974383206930E-01 a        98     0     5     1    18
 -3.7517512217100119E-01 a        99     0     5     1    19
  1.8351186266787156E-01 a       100     0     5     1    20
  2.6515804348901267E-01 a       101     0     6     1     1
 -2.7407812136067463E-02 a       102     0     6     1     2
  4.4615922231369182E-01 a       103     0     6     1     3
  8.4233202151068845E-02 a       104     0     6     1     4
  3.1134581317371412E-02 a       105     0     6     1     5
 -3.7878962953103379E-01 a       106     0     6     1     6
 -3.9731913026122674E-02 a       107     0     6     1     7
 -1.0139143206338656E-01 a       108     0     6     1     8
  3.5900965589434161E-02 a       109     0     6     1     9
 -9.9855077435810180E-02 a       110     0     6     1    10
  3.4212507946144638E-01 a       111     0     6     1    11
 -1.2268680806233105E-01 a       112     0     6     1    12
  2.3212179254370385E-01 a       113     0     6     1    13
  1.8865303060425007E-01 a       114     0     6     1    14
  3.5593877540034990E-01 a       115     0     6     1    15
  1.4523745877278195E-03 a       116     0     6     1    16
 -1.7412627008449022E-01 a       117     0     6     1    17
  1.6672490888187297E-01 a       118     0     6     1    18
 -3.1814812825559891E-01 a       119     0     6     1    19
 -1.3552921492192702E-01 a       120     0     6     1    20
 -2.1767821516957450E-01 a       121     0     7     1     1
 -1.6364702618556082E-01 a       122     0     7     1     2
 -4.9570128240885303E-02 a       123     0     7     1     3
 -3.0414094752581411E-01 a       124     0     7     1     4
 -9.5340529545607122E-02 a       125     0     7     1     5
  1.8965656583075702E-01 a       126     0     7     1     6
  4.1490234739697526E-02 a       127     0     7     1     7
  4.0130257085261734E-01 a       128     0     7     1     8
 -8.3926747816645261E-02 a       129     0     7     1     9
 -2.7384323638435726E-01 a       130     0     7     1    10
 -4.4850891078236022E-01 a       131     0     7     1    11
  7.9888828905401422E-04 a       132     0     7     1    12
 -1.5218581346683258E-01 a       133     0     7     1    13
  4.4510749772882399E-02 a       134     0     7     1    14
 -2.8197047089394300E-01 a       135     0     7     1    15
  1.1549305457647033E-01 a       136     0     7     1    16
  5.2424705309270359E-01 a       137     0     7     1    17
 -2.8184900183074840E-01 a       138     0     7     1    18
  3.6715868111089434E-01 a       139     0     7     1    19
 -2.7720884598307699E-01 a       140     0     7     1    20
  1.5909000693716174E-02 a       141     0     8     1     1
 -1.5623458630021572E-01 a       142     0     8     1     2
 -4.4664441564113261E-01 a       143     0     8     1     3
 -2.3723345060878823E-01 a       144     0     8     1     4
  8.5124672189880093E-03 a       145     0     8     1     5
  4.7303058406605619E-01 a       146     0     8     1     6
  4.4818541408021224E-02 a       147     0     8     1     7
  4.9057841797949184E-03 a       148     0     8     1     8
  1.2158312351628909E-02 a       149     0     8     1     9
  8.4463209612552728E-02 a       150     0     8     1    10
 -1.9007955203006829E-01 a       151     0     8     1    11
  1.5963481277470387E-01 a       152     0     8     1    12
  3.3217472979195378E-01 a       153     0     8     1    13
  4.7831601462884107E-02 a       154     0     8     1    14
 -6.3256590571645718E-02 a       155     0     8     1    15
 -3.4594498880376322E-02 a       156     0     8     1    16
  2.8996332481792425E-01 a       157     0     8     1    17
 -3.9209309125393443E-02 a       158     0     8     1    18
 -2.4798594225324333E-01 a       159     0     8     1    19
  1.0490678794915739E-01 a       160     0     8     1    20
 -3.2125150629984894E-01 a       161     0     9     1     1
  1.0195805339433005E-01 a       162     0     9     1     2
  3.7821129237432161E-01 a       163     0     9     1     3
  4.3269327935202084E-01 a       164     0     9     1     4
 -1.8625770694399243E-01 a       165     0     9     1     5
 -1.5488594697960142E-01 a       166     0     9     1     6
  1.3906608447168436E-01 a       167     0     9     1     7
 -8.2093874200458661E-02 a       168     0     9     1     8
 -1.4486562455303602E-02 a       169     0     9     1     9
 -2.3202710527578135E-01 a       170     0     9     1    10
 -8.9309372304647541E-02 a       171     0     9     1    11
 -7.4861636560973541E-02 a       172     0     9     1    12
  9.6071295322925437E-02 a       173     0     9     1    13
 -7.8479975623531664E-02 a       174     0     9     1    14
  2.7329227372678283E-01 a       175     0     9     1    15
 -2.8780657893308588E-02 a       176     0     9     1    16
 -1.3876552912937959E-01 a       177     0     9     1    17
  4.7591722219377075E-02 a       178     0     9     1    18
  2.4643020168320989E-01 a       179     0     9     1    19
 -9.1054833722177236E-02 a       180     0     9     1    20
  3.4628135555009776E-01 a       181     0    10     1     1
  7.5666074474675452E-02 a       182     0    10     1     2
 -2.1745532056166314E-01 a       183     0    10     1     3
  2.9912973766104750E-01 a       184     0    10     1     4
  1.9003183172737076E-01 a       185     0    10     1     5
 -3.9355574360095180E-01 a       186     0    10     1     6
 -1.7918775579406224E-01 a       187     0    10     1     7
 -4.3528157399982986E-01 a       188     0    10     1     8
  1.3404329326057354E-01 a       189     0    10     1     9
 -4.3832539676507153E-02 a       190     0    10     1    10
  2.2186522242265305E-01 a       191     0    10     1    11
  8.8332711998081195E-02 a       192     0    10     1    12
 -6.7099113433121471E-02 a       193     0    10     1    13
 -2.3788829998946170E-01 a       194     0    10     1    14
  2.3484302448929067E-01 a       195     0    10     1    15
  3.8061300845078090E-02 a       196     0    10     1    16
  1.1728425263378292E-02 a       197     0    10     1    17
 -1.7683403898704766E-01 a       198     0    10     1    18
 -1.6371324385252742E-01 a       199     0    10     1    19
  4.4546028019053563E-01 a       200     0    10     1    20
 -6.4676426558769951E-01 a       201     0    11     1     1
  1.5962582388964877E-01 a       202     0    11     1     2
 -7.4785741633446104E-02 a       203     0    11     1     3
  1.5567469734329856E-01 a       204     0    11     1     4
  4.2040707213667511E-01 a       205     0    11     1     5
  2.3270389573187139E-01 a       206     0    11     1     6
  2.3357885633140807E-01 a       207     0    11     1     7
  2.1940229479539741E-01 a       208     0    11     1     8
  4.5295931525789301E-01 a       209     0    11     1     9
  3.6639811342923623E-01 a       210     0    11     1    10
  2.1929376214741753E-01 a       211     0    11     1    11
  2.8908774316366109E-01 a       212     0    11     1    12
  1.7459367599892028E-01 a       213     0    11     1    13
 -5.0519029488702138E-01 a       214     0    11     1    14
  4.2765734522317805E-01 a       215     0    11     1    15
 -1.8542370313486695E-01 a       216     0    11     1    16
 -5.3304097933628745E-02 a       217     0    11     1    17
  2.3072726596881041E-01 a       218     0    11     1    18
  5.6529719531667619E-02 a       219     0    11     1    19
  2.4203217981144556E-01 a       220     0    11     1    20
  1.0078388424051678E-01 a       221     0    12     1     1
 -2.7558727748161906E-02 a       222     0    12     1     2
 -1.4948319379767858E-01 a       223     0    12     1     3
 -1.6179021048625736E-01 a       224     0    12     1     4
  1.7579599762528650E-01 a       225     0    12     1     5
  1.6848766542105978E-01 a       226     0    12     1     6
 -1.3189427381391378E-01 a       227     0    12     1     7
  3.6994151429184835E-01 a       228     0    12     1     8
 -4.0995689900038566E-02 a       229     0    12     1     9
 -1.8269096732345472E-01 a       230     0    12     1    10
 -1.2763363612172635E-01 a       231     0    12     1    11
 -4.5986901808156511E-02 a       232     0    12     1    12
 -2.1437976243537138E-01 a       233     0    12     1    13
  3.5292835992096061E-01 a       234     0    12     1    14
  1.6017839119449798E-01 a       235     0    12     1    15
  1.7031070386958944E-01 a       236     0    12     1    16
 -1.1255390588260403E-01 a       237     0    12     1    17
 -1.6536273244681866E-02 a       238     0    12     1    18
 -7.9601831388293534E-02 a       239     0    12     1    19
 -3.4116544081161010E-01 a       240     0    12     1    20
 -1.7971876753382233E-02 a       241     0    13     1     1
 -3.6616607677026286E-01 a       242     0    13     1     2
 -6.2367175005683104E-02 a       243     0    13     1     3
 -1.0247703247335968E-01 a       244     0    13     1     4
 -3.2971087370878521E-01 a       245     0    13     1     5
  1.5619111221225235E-01 a       246     0    13     1     6
 -1.9799892224059218E-01 a       247     0    13     1     7
 -1.8525319608551128E-02 a       248     0    13     1     8
 -3.5806818665450280E-01 a       249     0    13     1     9
  2.4115685521458577E-01 a       250     0    13     1    10
 -1.5633943916708748E-01 a       251     0    13     1    11
  1.0874581461812906E-01 a       252     0    13     1    12
 -4.1528670159313719E-01 a       253     0    13     1    13
  1.8355083341804868E-01 a       254     0    13     1    14
 -3.6387439302163632E-01 a       255     0    13     1    15
  3.5963512673364184E-01 a       256     0    13     1    16
  2.5627750349924755E-01 a       257     0    13     1    17
 -6.1349798757643285E-02 a       258     0    13     1    18
 -9.0862190925222977E-02 a       259     0    13     1    19
  3.1405837662762853E-01 a       260     0    13     1    20
 -2.6207934575193714E-01 a       261     0    14     1     1
  1.1218549845280280E-01 a       262     0    14     1     2
 -6.4907091598699063E-02 a       263     0    14     1     3
 -2.7029387247627634E-01 a       264     0    14     1     4
  3.5571153705285602E-01 a       265     0    14     1     5
 -2.4130884418423620E-01 a       266     0    14     1     6
  1.5614266676201791E-01 a       267     0    14     1     7
 -3.9055666997952421E-01 a       268     0    14     1     8
  3.1095238825952581E-01 a       269     0    14     1     9
  4.1864672243109485E-01 a       270     0    14     1    10
  1.8915200426488244E-02 a       271     0    14     1    11
  1.3246848206301765E-01 a       272     0    14     1    12
  8.6674320728720791E-03 a       273     0    14     1    13
 -2.9971523105071862E-01 a       274     0    14     1    14
 -2.1102157182774184E-01 a       275     0    14     1    15
  1.4932896489399167E-01 a       276     0    14     1    16
  5.0782252896917721E-02 a       277     0    14     1    17
  4.5109914093331101E-02 a       278     0    14     1    18
  3.1405851836212839E-01 a       279     0    14     1    19
  4.7521074042799410E-01 a       280     0    14     1    20
  1.1137925824119486E-01 a       281     0    15     1     1
  3.0929242089269043E-01 a       282     0    15     1     2
 -4.2499713158333646E-01 a       283     0    15     1     3
  4.2159424367184638E-02 a       284     0    15     1     4
 -1.9288800259723279E-01 a       285     0    15     1     5
 -1.9211264362934669E-01 a       286     0    15     1     6
 -1.4423654907991298E-01 a       287     0    15     1     7
 -5.8798009252034752E-02 a       288     0    15     1     8
  1.0786282665505541E-01 a       289     0    15     1     9
  3.2627962291041579E-01 a       290     0    15     1    10
 -2.5124039494939659E-02 a       291     0    15     1    11
  5.2520265478155560E-02 a       292     0    15     1    12
 -2.9760047535587610E-02 a       293     0    15     1    13
