################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9770886526832313E-01 a         1     0     1     1     1
 -1.3077462568612208E-01 a         2     0     1     1     2
  2.4098312018577228E-01 a         3     0     1     1     3
  2.0157401717317888E-01 a         4     0     1     1     4
  2.1928827506570350E-01 a         5     0     1     1     5
 -4.5039695727995999E-01 a         6     0     1     1     6
  2.6945236890171725E-02 a         7     0     1     1     7
  1.0970053375479251E-01 a         8     0     1     1     8
 -2.3428555386489250E-01 a         9     0     1     1     9
 -4.3093112026107683E-01 a        10     0     1     1    10
 -1.7811728399806356E-01 a        11     0     1     1    11
  4.3785671830424970E-02 a        12     0     1     1    12
  8.4098500761805486E-02 a        13     0     1     1    13
  3.4285936895211472E-01 a        14     0     1     1    14
  1.5351761430844255E-01 a        15     0     1     1    15
 -2.6756097504858650E-01 a        16     0     1     1    16
  1.2158750277601145E-01 a        17     0     1     1    17
 -1.1672737532586565E-01 a        18     0     1     1    18
 -1.0374866227770846E-01 a        19     0     1     1    19
 -1.9107717240348032E-01 a        20     0     1     1    20
  2.4164195606345074E-01 a        21     0     2     1     1
  1.4946496996494849E-01 a        22     0     2     1     2
 -9.4245762631373756E-02 a        23     0     2     1     3
 -1.9687775345785360E-01 a        24     0     2     1     4
 -3.8090075726994477E-01 a        25     0     2     1     5
 -8.3462694451930802E-02 a        26     0     2     1     6
 -3.6333236359112464E-01 a        27     0     2     1     7
  6.0333822723870813E-02 a        28     0     2     1     8
  3.0168937523464623E-01 a        29     0     2     1     9
  3.5519888727175236E-01 a        30     0     2     1    10
  3.6046155928244443E-02 a        31     0     2     1    11
  2.0329535248855699E-01 a        32     0     2     1    12
 -3.2204019621796787E-01 a        33     0     2     1    13
 -2.8048861522225765E-01 a        34     0     2     1    14
 -2.8536598507584976E-01 a        35     0     2     1    15
  1.5119673785420606E-01 a        36     0     2     1    16
 -1.4819311900128507E-01 a        37     0     2     1    17
  3.5787434001787501E-03 a        38     0     2     1    18
 -1.8983753504178993E-01 a        39     0     2     1    19
  1.8022793367372852E-01 a        40     0     2     1    20
  2.0184358760102816E-01 a        41     0     3     1     1
  1.0969468195055683E-01 a        42     0     3     1     2
  1.7492631406401622E-02 a        43     0     3     1     3
 -6.4524512595764291E-02 a        44     0     3     1     4
  1.7493479526090200E-01 a        45     0     3     1     5
  2.3511890238852848E-01 a        46     0     3     1     6
 -1.5685684992285391E-02 a        47     0     3     1     7
 -1.0156133719915508E-01 a        48     0     3     1     8
 -2.9873229557882330E-01 a        49     0     3     1     9
 -2.5103685480076682E-01 a        50     0     3     1    10
  3.8549316942337525E-01 a        51     0     3     1    11
  1.2386573273099870E-01 a        52     0     3     1    12
 -3.1168780443211419E-01 a        53     0     3     1    13
 -2.5468595882016032E-01 a        54     0     3     1    14
 -5.0785134198944218E-02 a        55     0     3     1    15
  4.0173685403584472E-02 a        56     0     3     1    16
 -4.6407945158606030E-02 a        57     0     3     1    17
 -2.3156153206006166E-01 a        58     0     3     1    18
  2.7918153048821021E-01 a        59     0     3     1    19
 -2.4251540363652305E-01 a        60     0     3     1    20
 -5.3492266321305260E-01 a        61     0     4     1     1
 -4.2810223266324922E-02 a        62     0     4     1     2
  3.2966950616065449E-01 a        63     0     4     1     3
 -5.5717858998860635E-02 a        64     0     4     1     4
 -1.7327298289293463E-01 a        65     0     4     1     5
  3.8748732244628381E-01 a        66     0     4     1     6
  6.7912608242720773E-02 a        67     0     4     1     7
  1.5300278655346511E-01 a        68     0     4     1     8
 -4.0639667725391349E-02 a        69     0     4     1     9
  9.6181006236306599E-02 a        70     0     4     1    10
 -1.1260323489088626E-01 a        71     0     4     1    11
 -6.5125189299748670E-02 a        72     0     4     1    12
 -1.4463655614782048E-01 a        73     0     4     1    13
 -2.1570747088691886E-01 a        74     0     4     1    14
 -2.3150400870341214E-02 a        75     0     4     1    15
 -2.7322955788483616E-01 a        76     0     4     1    16
 -1.6278509110090289E-01 a        77     0     4     1    17
 -1.0074842275210419E-02 a        78     0     4     1    18
  4.2106533730850737E-01 a        79     0     4     1    19
  1.7194465091345906E-01 a        80     0     4     1    20
 -3.0761031321979287E-01 a        81     0     5     1     1
 -2.1882439767125944E-01 a        82     0     5     1     2
  2.6153492084936431E-01 a        83     0     5     1     3
 -4.1629067854600826E-01 a        84     0     5     1     4
  5.5266101715832412E-02 a        85     0     5     1     5
 -2.8895564117269201E-01 a        86     0     5     1     6
  7.9841780602235998E-02 a        87     0     5     1     7
  3.1544882053869919E-02 a        88     0     5     1     8
  4.7321773301646379E-02 a        89     0     5     1     9
  2.3715759936439135E-01 a        90     0     5     1    10
  1.1694980394153385E-03 a        91     0     5     1    11
 -3.8280590352439658E-01 a        92     0     5     1    12
  1.8545749495153474E-01 a        93     0     5     1    13
 -8.3866054764384513E-03 a        94     0     5     1    14
 -1.5493211607011012E-01 a        95     0     5     1    15
  2.4423685102197940E-01 a        96     0     5     1    16
  2.3707928749627150E-01 a        97     0     5     1    17
 -3.6428322376867500E-01 a        98     0     5     1    18
  1.6182340047317131E-01 a        99     0     5     1    19
  2.4035319240832154E-01 a       100     0     5     1    20
  2.0428350769812259E-01 a       101     0     6     1     1
  2.1888536758085556E-01 a       102     0     6     1     2
 -4.5341092676392225E-01 a       103     0     6     1     3
  5.7824407761851804E-01 a       104     0     6     1     4
  3.3545725660552977E-01 a       105     0     6     1     5
 -1.0840709915633716E-01 a       106     0     6     1     6
 -1.5906829687421506E-01 a       107     0     6     1     7
 -3.2461664674013258E-01 a       108     0     6     1     8
  3.6279024599151788E-01 a       109     0     6     1     9
 -3.6117924162289589E-01 a       110     0     6     1    10
  2.4027525660167284E-01 a       111     0     6     1    11
  8.5194106308576004E-02 a       112     0     6     1    12
 -2.1179464284870119E-02 a       113     0     6     1    13
  1.1544219040094947E-01 a       114     0     6     1    14
  2.5127423494330059E-01 a       115     0     6     1    15
 -8.9738821631571597E-02 a       116     0     6     1    16
  7.7421534618285570E-03 a       117     0     6     1    17
  2.5596274587925572E-01 a       118     0     6     1    18
 -5.0187624811075381E-02 a       119     0     6     1    19
  2.4703376706434674E-01 a       120     0     6     1    20
  3.2099670285498716E-01 a       121     0     7     1     1
  1.5745784217244094E-01 a       122     0     7     1     2
  2.2218987350186983E-01 a       123     0     7     1     3
 -2.6301712207941941E-01 a       124     0     7     1     4
  4.2199193765168281E-03 a       125     0     7     1     5
 -6.0847231520754141E-01 a       126     0     7     1     6
  1.3155466929468654E-01 a       127     0     7     1     7
 -1.5539033925093454E-01 a       128     0     7     1     8
 -4.1979043463207161E-01 a       129     0     7     1     9
