################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.1964349950540728E-03 a       117     0     6     1    17
 -1.4136820071611492E-01 a       118     0     6     1    18
 -3.1259498226472759E-01 a       119     0     6     1    19
 -1.8632380735556009E-01 a       120     0     6     1    20
  1.6354778669878678E-01 a       121     0     7     1     1
 -4.2494723163724046E-01 a       122     0     7     1     2
 -2.7686711251106716E-01 a       123     0     7     1     3
 -2.4474642091418281E-02 a       124     0     7     1     4
  3.5115573409098232E-02 a       125     0     7     1     5
  5.5649989095748253E-02 a       126     0     7     1     6
 -1.0231180671270924E-01 a       127     0     7     1     7
  2.1183025901172728E-02 a       128     0     7     1     8
 -2.9569630531433466E-01 a       129     0     7     1     9
 -1.5893473606320233E-01 a       130     0     7     1    10
 -3.1303192839538313E-01 a       131     0     7     1    11
 -1.1777606984591765E-01 a       132     0     7     1    12
 -1.3940223061292677E-02 a       133     0     7     1    13
  3.8655213822494774E-02 a       134     0     7     1    14
  3.8797855886616783E-01 a       135     0     7     1    15
  3.5089175724446409E-01 a       136     0     7     1    16
  2.5322113642008987E-01 a       137     0     7     1    17
 -3.5813796651854068E-01 a       138     0     7     1    18
  4.4096040502704842E-01 a       139     0     7     1    19
  1.7669548252368949E-02 a       140     0     7     1    20
 -3.8914661375499776E-01 a       141     0     8     1     1
 -3.5887377043089847E-03 a       142     0     8     1     2
 -6.5896768637379685E-02 a       143     0     8     1     3
  7.2663188737011841E-01 a       144     0     8     1     4
 -2.9832849953401208E-01 a       145     0     8     1     5
 -4.5223217207494740E-02 a       146     0     8     1     6
 -2.3914247729142915E-01 a       147     0     8     1     7
  3.7087970327862158E-01 a       148     0     8     1     8
  3.7771338953342637E-01 a       149     0     8     1     9
 -2.5155458363596100E-02 a       150     0     8     1    10
 -3.5924190370775244E-01 a       151     0     8     1    11
  3.0272241877243355E-01 a       152     0     8     1    12
 -3.4513455658211040E-01 a       153     0     8     1    13
  3.5233361914414058E-01 a       154     0     8     1    14
 -2.7228471112812064E-01 a       155     0     8     1    15
  1.1518675674222172E-01 a       156     0     8     1    16
 -7.5120539579153392E-02 a       157     0     8     1    17
 -1.5113457647991529E-01 a       158     0     8     1    18
  6.0779956439332962E-02 a       159     0     8     1    19
  2.9840586163649130E-01 a       160     0     8     1    20
  1.5251650602296113E-01 a       161     0     9     1     1
  1.4768017626529048E-01 a       162     0     9     1     2
  2.5430367804433013E-01 a       163     0     9     1     3
 -1.5732430892685983E-01 a       164     0     9     1     4
 -1.4639453029642802E-01 a       165     0     9     1     5
 -3.8629769220352328E-02 a       166     0     9     1     6
 -2.7634457305917759E-01 a       167     0     9     1     7
 -2.4089339393354511E-01 a       168     0     9     1     8
 -3.0568640689653459E-01 a       169     0     9     1     9
 -8.5051396178794966E-02 a       170     0     9     1    10
  9.1661387840391323E-02 a       171     0     9     1    11
  2.1847547547074506E-01 a       172     0     9     1    12
  2.8255996704667380E-01 a       173     0     9     1    13
 -1.6382900800497757E-01 a       174     0     9     1    14
  8.5698845526698784E-03 a       175     0     9     1    15
 -1.5948863060253282E-01 a       176     0     9     1    16
 -4.9499638045345538E-02 a       177     0     9     1    17
 -2.4873484885624345E-01 a       178     0     9     1    18
  2.1370658526521663E-01 a       179     0     9     1    19
  4.1366686411467811E-02 a       180     0     9     1    20
 -6.4993312624996843E-02 a       181     0    10     1     1
 -3.0345450798793448E-02 a       182     0    10     1     2
  8.4628219251171907E-02 a       183     0    10     1     3
  6.5037006139573916E-02 a       184     0    10     1     4
  3.4512660354297281E-01 a       185     0    10     1     5
  3.2109563214425890E-01 a       186     0    10     1     6
  1.1466283030308788E-01 a       187     0    10     1     7
  2.9244499689286130E-01 a       188     0    10     1     8
 -3.4425983604908280E-03 a       189     0    10     1     9
  2.4786585773224934E-01 a       190     0    10     1    10
  2.2613256876378454E-01 a       191     0    10     1    11
  7.3169652310116975E-02 a       192     0    10     1    12
  4.1904567001481804E-02 a       193     0    10     1    13
 -2.3607668207967930E-01 a       194     0    10     1    14
  1.0079885740903646E-01 a       195     0    10     1    15
 -2.0117212303269291E-01 a       196     0    10     1    16
  7.6119684542779981E-02 a       197     0    10     1    17
  3.0576587139442268E-01 a       198     0    10     1    18
 -1.9238752551806668E-02 a       199     0    10     1    19
 -4.9688781469458954E-01 a       200     0    10     1    20
 -1.4297992926201963E-01 a       201     0    11     1     1
  9.8023304738421288E-02 a       202     0    11     1     2
 -1.8332224369154426E-01 a       203     0    11     1     3
 -4.5846168569699926E-02 a       204     0    11     1     4
 -1.1150904067134926E-01 a       205     0    11     1     5
 -4.0958985238001028E-01 a       206     0    11     1     6
  1.0211902960550800E-01 a       207     0    11     1     7
  3.8762906066536568E-01 a       208     0    11     1     8
 -2.7561763163670830E-02 a       209     0    11     1     9
 -6.7940200680719473E-02 a       210     0    11     1    10
 -3.8063171192165363E-01 a       211     0    11     1    11
  9.2719093761950672E-02 a       212     0    11     1    12
 -1.6796730960695935E-01 a       213     0    11     1    13
 -2.4408105180200021E-01 a       214     0    11     1    14
  1.1518755212800016E-01 a       215     0    11     1    15
 -1.8266648607815758E-01 a       216     0    11     1    16
 -8.3150810923156598E-02 a       217     0    11     1    17
  5.9043008647087267E-02 a       218     0    11     1    18
  5.2249544857362216E-03 a       219     0    11     1    19
 -1.8273464418063079E-01 a       220     0    11     1    20
 -1.2796996353052334E-01 a       221     0    12     1     1
  2.3531745945826274E-01 a       222     0    12     1     2
  6.6035502951049402E-02 a       223     0    12     1     3
  1.5550619369607599E-01 a       224     0    12     1     4
 -3.0094613168066275E-01 a       225     0    12     1     5
 -1.9746715990590491E-01 a       226     0    12     1     6
  2.4308625761564930E-02 a       227     0    12     1     7
 -9.9184614146352698E-02 a       228     0    12     1     8
 -1.0651507227162513E-01 a       229     0    12     1     9
  3.5349347652550889E-01 a       230     0    12     1    10
 -4.7305652847383656E-01 a       231     0    12     1    11
  3.3001230983818214E-01 a       232     0    12     1    12
  2.4962850861184677E-01 a       233     0    12     1    13
 -9.9195028685281419E-02 a       234     0    12     1    14
  8.0887451122602580E-02 a       235     0    12     1    15
  1.0680412528501795E-02 a       236     0    12     1    16
 -4.5681043205145155E-01 a       237     0    12     1    17
 -2.3590268636130104E-01 a       238     0    12     1    18
 -5.1198067604085484E-01 a       239     0    12     1    19
  2.7451437641209886E-01 a       240     0    12     1    20
 -5.1291132293058615E-02 a       241     0    13     1     1
 -3.2973643338695152E-01 a       242     0    13     1     2
  2.9859891375210396E-01 a       243     0    13     1     3
 -8.7090499589907264E-02 a       244     0    13     1     4
  2.6672512316403074E-01 a       245     0    13     1     5
 -1.8892128905507852E-01 a       246     0    13     1     6
 -2.5655140491748909E-02 a       247     0    13     1     7
 -1.3856563008756395E-01 a       248     0    13     1     8
  7.6120606343959243E-02 a       249     0    13     1     9
  3.0701119425821854E-01 a       250     0    13     1    10
 -2.8073783353078907E-01 a       251     0    13     1    11
  3.1296659370128049E-01 a       252     0    13     1    12
  7.4304879121440792E-02 a       253     0    13     1    13
  6.7458469081624645E-02 a       254     0    13     1    14
  5.0533038876851399E-02 a       255     0    13     1    15
 -3.5229414094247807E-01 a       256     0    13     1    16
 -6.1887472254243278E-02 a       257     0    13     1    17
 -3.3617492950418321E-01 a       258     0    13     1    18
  3.0769528823406767E-01 a       259     0    13     1    19
 -2.7691633796532211E-01 a       260     0    13     1    20
 -9.0767421858232444E-02 a       261     0    14     1     1
 -1.3757574144672524E-01 a       262     0    14     1     2
 -2.0613640217423171E-01 a       263     0    14     1     3
 -1.6104429171468967E-01 a       264     0    14     1     4
  9.1774248555710800E-02 a       265     0    14     1     5
  6.5206213327287849E-02 a       266     0    14     1     6
  5.8757102205758180E-02 a       267     0    14     1     7
  4.6018841154933776E-01 a       268     0    14     1     8
 -1.1938992288007376E-01 a       269     0    14     1     9
  8.1733580732852265E-02 a       270     0    14     1    10
 -2.9704022279325371E-01 a       271     0    14     1    11
  4.3576619711006806E-02 a       272     0    14     1    12
 -3.3493171537550626E-01 a       273     0    14     1    13
 -1.5837401869025816E-01 a       274     0    14     1    14
  1.8829939510866308E-02 a       275     0    14     1    15
 -3.2929949704980443E-01 a       276     0    14     1    16
  2.2445523497232003E-01 a       277     0    14     1    17
 -3.9605398197633063E-01 a       278     0    14     1    18
  1.8954914198518394E-01 a       279     0    14     1    19
 -2.3215834410882780E-01 a       280     0    14     1    20
 -1.3580821062589454E-01 a       281     0    15     1     1
  3.3701522462498434E-01 a       282     0    15     1     2
 -2.0333158541406915E-01 a       283     0    15     1     3
