################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2867494435058969E-01 a         1     0     1     1     1
 -3.3226595976245543E-01 a         2     0     1     1     2
 -3.2696449460516297E-01 a         3     0     1     1     3
 -1.6445526414892744E-02 a         4     0     1     1     4
  2.5878310306484742E-01 a         5     0     1     1     5
  1.4286267089841845E-01 a         6     0     1     1     6
  1.5291857481934440E-01 a         7     0     1     1     7
 -3.2625392136391984E-01 a         8     0     1     1     8
  4.5034073381997761E-02 a         9     0     1     1     9
 -2.5853336475245198E-01 a        10     0     1     1    10
 -3.5807703310167849E-01 a        11     0     1     1    11
  1.5224433438503465E-01 a        12     0     1     1    12
 -7.9472941272478725E-03 a        13     0     1     1    13
 -2.0814131323510683E-02 a        14     0     1     1    14
 -3.3297837190303203E-01 a        15     0     1     1    15
 -1.8510510883598985E-01 a        16     0     1     1    16
  4.1239582651869394E-01 a        17     0     1     1    17
 -1.3925664157822168E-01 a        18     0     1     1    18
  4.5500839664526133E-01 a        19     0     1     1    19
  1.8513445751650356E-01 a        20     0     1     1    20
 -1.0569971115389117E-01 a        21     0     2     1     1
 -1.1304722181924357E-01 a        22     0     2     1     2
 -4.3088756530455119E-01 a        23     0     2     1     3
  2.8602744429336918E-01 a        24     0     2     1     4
  1.3047336687613931E-01 a        25     0     2     1     5
  3.6529782763834856E-01 a        26     0     2     1     6
 -6.8171688350938064E-02 a        27     0     2     1     7
 -1.6410067941497467E-01 a        28     0     2     1     8
  9.1343505683203138E-02 a        29     0     2     1     9
  1.2695966918728627E-01 a        30     0     2     1    10
  2.7885848242569261E-01 a        31     0     2     1    11
  2.4907493247930385E-01 a        32     0     2     1    12
  4.9483729073662441E-02 a        33     0     2     1    13
  2.1564479269247161E-01 a        34     0     2     1    14
  3.7771598849027851E-02 a        35     0     2     1    15
  2.6047863699734952E-01 a        36     0     2     1    16
 -3.3459200786046961E-01 a        37     0     2     1    17
 -2.9897517212866077E-02 a        38     0     2     1    18
 -5.4067554126679008E-03 a        39     0     2     1    19
 -3.1602603023868586E-01 a        40     0     2     1    20
  2.6854042547361973E-01 a        41     0     3     1     1
  3.2566765280297466E-01 a        42     0     3     1     2
  4.1142534253257401E-01 a        43     0     3     1     3
  3.5994825630447042E-01 a        44     0     3     1     4
 -3.1526512033139348E-01 a        45     0     3     1     5
  2.2195701126147402E-01 a        46     0     3     1     6
  2.5743149455182601E-01 a        47     0     3     1     7
  2.7336508320116876E-01 a        48     0     3     1     8
  2.4127384716884492E-01 a        49     0     3     1     9
 -1.1261535944554152E-02 a        50     0     3     1    10
 -1.2101358848860871E-01 a        51     0     3     1    11
 -3.0925903793199194E-01 a        52     0     3     1    12
 -2.0261480332537954E-01 a        53     0     3     1    13
  5.1258523580974998E-02 a        54     0     3     1    14
  3.9361192722209015E-01 a        55     0     3     1    15
  5.1610825570888363E-02 a        56     0     3     1    16
  9.0807347257314777E-02 a        57     0     3     1    17
  4.0501007763114460E-01 a        58     0     3     1    18
 -4.4169254265408586E-01 a        59     0     3     1    19
  9.9337702675343489E-02 a        60     0     3     1    20
 -3.9508438348205144E-01 a        61     0     4     1     1
 -3.8702437897454955E-01 a        62     0     4     1     2
  3.4446197138999163E-01 a        63     0     4     1     3
 -2.9640897349426026E-01 a        64     0     4     1     4
  8.0644222836317083E-03 a        65     0     4     1     5
  2.3929303289686227E-01 a        66     0     4     1     6
  4.9770433162181588E-01 a        67     0     4     1     7
 -4.3912332002986065E-01 a        68     0     4     1     8
 -1.7150027493454839E-01 a        69     0     4     1     9
 -1.6779327470573457E-01 a        70     0     4     1    10
 -3.1228558807230894E-01 a        71     0     4     1    11
  3.1420310398010115E-01 a        72     0     4     1    12
 -1.0722819502064959E-01 a        73     0     4     1    13
  4.2095698409581050E-01 a        74     0     4     1    14
  6.2488161192166949E-02 a        75     0     4     1    15
 -4.4616326414254193E-01 a        76     0     4     1    16
 -3.5075778999127788E-01 a        77     0     4     1    17
 -2.5299762531464198E-01 a        78     0     4     1    18
  1.0911258831839613E-01 a        79     0     4     1    19
  8.2869047496918161E-02 a        80     0     4     1    20
 -1.5756863262363552E-01 a        81     0     5     1     1
 -3.0411567464617784E-01 a        82     0     5     1     2
 -2.8776420599965807E-01 a        83     0     5     1     3
 -1.7384184449599488E-01 a        84     0     5     1     4
  3.0879677190301763E-01 a        85     0     5     1     5
 -2.0069582571292924E-01 a        86     0     5     1     6
 -3.4919063986437376E-01 a        87     0     5     1     7
  1.3234457600153997E-02 a        88     0     5     1     8
 -5.1367456952808321E-01 a        89     0     5     1     9
