################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.4288930933697697E-01 a         1     0     1     1     1
 -2.2160594248275919E-01 a         2     0     1     1     2
 -3.6756166167838522E-01 a         3     0     1     1     3
  2.5843273053503237E-02 a         4     0     1     1     4
  3.2742086222226485E-01 a         5     0     1     1     5
 -2.1029484958069225E-01 a         6     0     1     1     6
 -1.3910146892078454E-02 a         7     0     1     1     7
  2.2970491993987091E-01 a         8     0     1     1     8
  2.5966429085104853E-01 a         9     0     1     1     9
 -1.6126720892937035E-01 a        10     0     1     1    10
 -9.3918992821337144E-02 a        11     0     1     1    11
 -2.1488537784416820E-01 a        12     0     1     1    12
 -4.6710362204843515E-02 a        13     0     1     1    13
  1.8123693949006028E-01 a        14     0     1     1    14
  8.2945300563803087E-02 a        15     0     1     1    15
  3.1605167792316197E-01 a        16     0     1     1    16
  7.3262341599050623E-02 a        17     0     1     1    17
 -3.0829441988138622E-02 a        18     0     1     1    18
 -1.6821180377655168E-01 a        19     0     1     1    19
 -2.5501064031787612E-01 a        20     0     1     1    20
  1.3346241018091520E-02 a        21     0     2     1     1
  8.3309664731496924E-02 a        22     0     2     1     2
  1.3681513997787065E-01 a        23     0     2     1     3
 -1.0815195775817277E-01 a        24     0     2     1     4
  1.0825710132102467E-01 a        25     0     2     1     5
 -5.9207483400738697E-02 a        26     0     2     1     6
  3.2420908873428406E-01 a        27     0     2     1     7
 -4.7291379996549476E-01 a        28     0     2     1     8
 -3.7747252958714686E-02 a        29     0     2     1     9
 -2.3979947890202047E-01 a        30     0     2     1    10
 -6.5263007182379235E-02 a        31     0     2     1    11
 -2.2749989209756172E-02 a        32     0     2     1    12
  3.5702976345987403E-01 a        33     0     2     1    13
 -9.3189992736205207E-02 a        34     0     2     1    14
 -1.3323545546549254E-01 a        35     0     2     1    15
  1.1014172114774240E-01 a        36     0     2     1    16
 -1.3805460752525597E-01 a        37     0     2     1    17
  3.3364316353801277E-01 a        38     0     2     1    18
 -2.0226016983345232E-01 a        39     0     2     1    19
 -3.1622779737048073E-01 a        40     0     2     1    20
 -1.9856377190700880E-01 a        41     0     3     1     1
 -3.9984502191054143E-02 a        42     0     3     1     2
  3.1880436585619489E-02 a        43     0     3     1     3
  4.9568945825031650E-02 a        44     0     3     1     4
 -2.9970150829772918E-01 a        45     0     3     1     5
  1.8952009831055366E-01 a        46     0     3     1     6
 -1.8839126755681604E-01 a        47     0     3     1     7
  1.8563744319734501E-01 a        48     0     3     1     8
 -6.4617505313646462E-02 a        49     0     3     1     9
  5.4357081344504191E-02 a        50     0     3     1    10
  1.5502789497589339E-01 a        51     0     3     1    11
 -2.2846745944353100E-01 a        52     0     3     1    12
 -2.5996692705315549E-01 a        53     0     3     1    13
 -3.4441833588171222E-01 a        54     0     3     1    14
 -9.0503615928500494E-02 a        55     0     3     1    15
  8.5483662549314193E-02 a        56     0     3     1    16
 -4.1496107807046068E-01 a        57     0     3     1    17
 -2.7208237886870079E-01 a        58     0     3     1    18
 -9.8676456194759482E-02 a        59     0     3     1    19
 -2.6947344964376857E-01 a        60     0     3     1    20
  4.2116117464795300E-01 a        61     0     4     1     1
 -1.0488019768865837E-01 a        62     0     4     1     2
  3.2035030068926817E-01 a        63     0     4     1     3
  6.9477253138279682E-01 a        64     0     4     1     4
  1.6108887414360762E-01 a        65     0     4     1     5
  2.7245802273586772E-01 a        66     0     4     1     6
 -2.8047894679615443E-01 a        67     0     4     1     7
  4.6589625114458966E-01 a        68     0     4     1     8
  4.9943228652406704E-02 a        69     0     4     1     9
 -3.5834657680502764E-02 a        70     0     4     1    10
 -1.0875844624038389E-01 a        71     0     4     1    11
  3.6777700361218962E-01 a        72     0     4     1    12
 -1.3810444054304885E-01 a        73     0     4     1    13
 -2.6044369519605554E-01 a        74     0     4     1    14
 -9.1416895837948181E-02 a        75     0     4     1    15
 -5.6238458209903053E-01 a        76     0     4     1    16
  2.7435682957282082E-01 a        77     0     4     1    17
 -4.3944410883289514E-01 a        78     0     4     1    18
  1.4056772513142293E-02 a        79     0     4     1    19
  4.1785221182329690E-01 a        80     0     4     1    20
 -3.6063486510933684E-01 a        81     0     5     1     1
 -2.3618742050944105E-01 a        82     0     5     1     2
 -1.4242371960828609E-01 a        83     0     5     1     3
 -6.8428746201181584E-02 a        84     0     5     1     4
  2.0388651095617372E-01 a        85     0     5     1     5
 -4.9815589041816188E-01 a        86     0     5     1     6
 -1.0806583741065270E-01 a        87     0     5     1     7
  2.3445126009550962E-01 a        88     0     5     1     8
  4.4225946028618884E-01 a        89     0     5     1     9
  2.7168364276355050E-01 a        90     0     5     1    10
  4.5882196613066771E-02 a        91     0     5     1    11
  2.2660178646102088E-02 a        92     0     5     1    12
 -6.9597262779800745E-02 a        93     0     5     1    13
  3.2241054505110123E-01 a        94     0     5     1    14
 -2.7463146058032867E-01 a        95     0     5     1    15
