################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8515980461487752E-01 a         1     0     1     1     1
 -1.1653142354096854E-01 a         2     0     1     1     2
 -3.1867938679652991E-01 a         3     0     1     1     3
  5.1440526541234412E-02 a         4     0     1     1     4
  8.1861027298588365E-02 a         5     0     1     1     5
 -6.5775257121556172E-02 a         6     0     1     1     6
 -3.8015861003740964E-01 a         7     0     1     1     7
 -9.8964008626424280E-02 a         8     0     1     1     8
 -5.1406502298998860E-02 a         9     0     1     1     9
 -2.6267246951613621E-01 a        10     0     1     1    10
  1.2704306710235352E-01 a        11     0     1     1    11
 -1.5879581246997607E-01 a        12     0     1     1    12
 -2.5183126873576356E-01 a        13     0     1     1    13
  4.7644666361002827E-02 a        14     0     1     1    14
 -9.6305940697056502E-03 a        15     0     1     1    15
 -1.7835579186208644E-01 a        16     0     1     1    16
 -1.4215526548135862E-01 a        17     0     1     1    17
  9.4943392812232436E-02 a        18     0     1     1    18
 -1.5540839294976308E-01 a        19     0     1     1    19
  1.7501688089171044E-01 a        20     0     1     1    20
 -1.3360500212102902E-01 a        21     0     2     1     1
  3.4034448980110085E-02 a        22     0     2     1     2
  5.7376780199096611E-01 a        23     0     2     1     3
 -2.1616912057321941E-01 a        24     0     2     1     4
  3.0932017269883427E-01 a        25     0     2     1     5
  1.2359295603159293E-01 a        26     0     2     1     6
  3.1685608686318124E-02 a        27     0     2     1     7
  5.2084608201119875E-02 a        28     0     2     1     8
  2.2576033447563082E-01 a        29     0     2     1     9
  7.7193828425267078E-02 a        30     0     2     1    10
 -1.0010387675122050E-01 a        31     0     2     1    11
  2.1980279337192071E-01 a        32     0     2     1    12
  2.0986375416280359E-01 a        33     0     2     1    13
 -2.3637942143025434E-01 a        34     0     2     1    14
  3.5097671786475443E-01 a        35     0     2     1    15
 -2.1513358422923562E-01 a        36     0     2     1    16
 -1.9760551714349800E-01 a        37     0     2     1    17
 -1.4984853208112808E-01 a        38     0     2     1    18
  2.8429110497530621E-02 a        39     0     2     1    19
  3.3386385729649642E-01 a        40     0     2     1    20
  1.1324624621832546E-01 a        41     0     3     1     1
 -6.5245455633019547E-02 a        42     0     3     1     2
 -2.8710009770032580E-01 a        43     0     3     1     3
  3.0215982193863722E-01 a        44     0     3     1     4
 -1.0928039395132176E-01 a        45     0     3     1     5
  1.2579305055773515E-01 a        46     0     3     1     6
  4.7839636210266621E-02 a        47     0     3     1     7
 -4.8303386470604837E-01 a        48     0     3     1     8
 -2.7715760502326653E-01 a        49     0     3     1     9
  7.8555805051409730E-02 a        50     0     3     1    10
 -5.1504169690144853E-02 a        51     0     3     1    11
  1.2294420938782583E-01 a        52     0     3     1    12
 -4.1900102411290657E-01 a        53     0     3     1    13
 -3.7401570412229396E-01 a        54     0     3     1    14
  1.4155342061415374E-01 a        55     0     3     1    15
  2.4552784868550925E-01 a        56     0     3     1    16
 -4.5221592333226340E-02 a        57     0     3     1    17
 -3.2038968268897650E-01 a        58     0     3     1    18
 -3.6086410145691300E-01 a        59     0     3     1    19
 -1.9702175386180232E-01 a        60     0     3     1    20
 -2.8217709615529676E-02 a        61     0     4     1     1
  4.4623366480291089E-02 a        62     0     4     1     2
 -2.6568983870147800E-01 a        63     0     4     1     3
 -6.3306659303345711E-02 a        64     0     4     1     4
 -3.0231012385388156E-01 a        65     0     4     1     5
 -1.9863049240637334E-01 a        66     0     4     1     6
  2.2436550547954553E-02 a        67     0     4     1     7
  2.2486661602620961E-01 a        68     0     4     1     8
 -2.6063450605233868E-01 a        69     0     4     1     9
 -3.0647097571576465E-01 a        70     0     4     1    10
  1.9553928022234746E-01 a        71     0     4     1    11
 -2.5017438563311106E-01 a        72     0     4     1    12
  3.5461231097373258E-01 a        73     0     4     1    13
  3.2341982064803071E-01 a        74     0     4     1    14
 -1.2099943618793658E-01 a        75     0     4     1    15
  3.6480981271533758E-01 a        76     0     4     1    16
  2.9258761682091333E-01 a        77     0     4     1    17
  4.4679514426730815E-01 a        78     0     4     1    18
  3.0023467222979555E-01 a        79     0     4     1    19
 -9.8522238456130076E-02 a        80     0     4     1    20
 -3.4743010482123515E-01 a        81     0     5     1     1
 -1.4704814518085166E-01 a        82     0     5     1     2
  4.0602508474529547E-01 a        83     0     5     1     3
 -2.4276604104075386E-01 a        84     0     5     1     4
 -1.0821599189403736E-01 a        85     0     5     1     5
 -5.5235845067326449E-02 a        86     0     5     1     6
  3.9094305370097693E-01 a        87     0     5     1     7
  4.7101865319722824E-01 a        88     0     5     1     8
  1.0459068696423515E-01 a        89     0     5     1     9
  3.5231795937166116E-01 a        90     0     5     1    10
 -2.2512467892412916E-01 a        91     0     5     1    11
 -1.8286580981024694E-01 a        92     0     5     1    12
 -9.7992456560909630E-02 a        93     0     5     1    13
  2.4342430191977982E-01 a        94     0     5     1    14
  1.0408376484482809E-01 a        95     0     5     1    15
 -4.6287411572686836E-02 a        96     0     5     1    16
 -3.3076197393826709E-02 a        97     0     5     1    17
 -2.5850947689016918E-01 a        98     0     5     1    18
 -3.2659781158829826E-01 a        99     0     5     1    19
  4.7444358227261707E-01 a       100     0     5     1    20
  1.4403742351197582E-01 a       101     0     6     1     1
  1.9168923797576845E-01 a       102     0     6     1     2
 -2.6141385109860416E-01 a       103     0     6     1     3
  1.5278848444278678E-01 a       104     0     6     1     4
  4.6820177718951417E-01 a       105     0     6     1     5
  1.8116851597079475E-01 a       106     0     6     1     6
 -2.0530465634980558E-01 a       107     0     6     1     7
 -2.5785351524951049E-02 a       108     0     6     1     8
  2.1622234872420079E-01 a       109     0     6     1     9
  2.9714857716065984E-01 a       110     0     6     1    10
 -2.6139383179713323E-02 a       111     0     6     1    11
  3.7806464403649337E-01 a       112     0     6     1    12
 -2.3797939210733018E-01 a       113     0     6     1    13
  2.4355361244036516E-01 a       114     0     6     1    14
  1.2226825426582477E-01 a       115     0     6     1    15
 -4.6305375946979771E-01 a       116     0     6     1    16
 -4.5893568433506116E-02 a       117     0     6     1    17
 -2.5414284832698264E-01 a       118     0     6     1    18
  2.1997042593512747E-01 a       119     0     6     1    19
