################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5302212479880281E-01 a         1     0     1     1     1
 -7.8347785505068449E-02 a         2     0     1     1     2
 -1.9764959842499910E-01 a         3     0     1     1     3
  5.4117566134098009E-02 a         4     0     1     1     4
  2.3194399712592637E-01 a         5     0     1     1     5
  2.2041126103725958E-01 a         6     0     1     1     6
 -4.6411304189163705E-01 a         7     0     1     1     7
  3.1449627749350650E-01 a         8     0     1     1     8
 -1.8379934604352299E-01 a         9     0     1     1     9
  2.1517749243465265E-01 a        10     0     1     1    10
 -3.7393838764457848E-01 a        11     0     1     1    11
 -1.2021232198496339E-01 a        12     0     1     1    12
 -1.7436469195837041E-02 a        13     0     1     1    13
 -3.8465111770678462E-01 a        14     0     1     1    14
  1.7358297210447404E-01 a        15     0     1     1    15
 -3.1794263959194430E-01 a        16     0     1     1    16
 -4.7535794335207847E-02 a        17     0     1     1    17
 -1.7077818821647597E-01 a        18     0     1     1    18
  1.4427389773409658E-04 a        19     0     1     1    19
  4.3741600823168791E-01 a        20     0     1     1    20
 -8.0576715309263816E-02 a        21     0     2     1     1
 -2.6097879349570025E-01 a        22     0     2     1     2
 -2.4338832268930127E-01 a        23     0     2     1     3
  1.6808609652004636E-01 a        24     0     2     1     4
 -6.0312311304778342E-02 a        25     0     2     1     5
 -6.3739566130467185E-01 a        26     0     2     1     6
  5.5385173348210515E-01 a        27     0     2     1     7
 -9.1833064776544182E-02 a        28     0     2     1     8
  1.7923098084250774E-01 a        29     0     2     1     9
 -1.3387495695449650E-01 a        30     0     2     1    10
  1.0725570861438753E-01 a        31     0     2     1    11
  3.3798459197403552E-01 a        32     0     2     1    12
  2.3251784208443269E-01 a        33     0     2     1    13
  1.4190346169769233E-01 a        34     0     2     1    14
  1.6937812809762401E-01 a        35     0     2     1    15
  3.2391928159508926E-01 a        36     0     2     1    16
 -6.8071201123125313E-02 a        37     0     2     1    17
 -8.9729510546837407E-02 a        38     0     2     1    18
 -2.4972509415692046E-01 a        39     0     2     1    19
 -1.4279884202639934E-01 a        40     0     2     1    20
  6.7963235554292886E-02 a        41     0     3     1     1
  2.0708218447880614E-01 a        42     0     3     1     2
  9.9758256530006001E-02 a        43     0     3     1     3
  2.5608059910764321E-03 a        44     0     3     1     4
 -3.3405250854280166E-01 a        45     0     3     1     5
 -2.0576454955647167E-01 a        46     0     3     1     6
 -1.3232811221153665E-01 a        47     0     3     1     7
  1.2989098051571671E-01 a        48     0     3     1     8
 -8.7015976826929103E-02 a        49     0     3     1     9
 -1.2100143451390853E-01 a        50     0     3     1    10
 -3.2170753981861894E-01 a        51     0     3     1    11
 -2.0457416001605638E-01 a        52     0     3     1    12
  3.1997115258835412E-01 a        53     0     3     1    13
  9.6383016638745295E-02 a        54     0     3     1    14
 -2.5684625981654230E-01 a        55     0     3     1    15
  8.9348227751037596E-02 a        56     0     3     1    16
  2.6955626776825609E-01 a        57     0     3     1    17
