################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.4015726543330667E-02 a         1     0     1     1     1
  4.6804335072302861E-01 a         2     0     1     1     2
  2.0910046709668895E-01 a         3     0     1     1     3
 -2.1095382675073032E-01 a         4     0     1     1     4
  3.1523788132775948E-01 a         5     0     1     1     5
  1.9329414804555292E-01 a         6     0     1     1     6
  3.8095419306898143E-01 a         7     0     1     1     7
 -3.5083133783991061E-01 a         8     0     1     1     8
  6.6859820669564946E-02 a         9     0     1     1     9
 -1.2118454244221975E-01 a        10     0     1     1    10
 -2.0666246298159754E-01 a        11     0     1     1    11
 -2.0554873645013105E-01 a        12     0     1     1    12
  1.8738720286653604E-01 a        13     0     1     1    13
  1.3635469992061777E-01 a        14     0     1     1    14
 -2.6941491273435855E-02 a        15     0     1     1    15
 -2.2692993784920543E-01 a        16     0     1     1    16
 -1.9450207265434347E-01 a        17     0     1     1    17
 -8.7469238404257438E-02 a        18     0     1     1    18
 -2.7372134908130824E-01 a        19     0     1     1    19
 -9.9482475848096108E-02 a        20     0     1     1    20
  6.6078395338834972E-02 a        21     0     2     1     1
 -1.7012979987160021E-01 a        22     0     2     1     2
  1.9310437154016608E-01 a        23     0     2     1     3
 -7.6480106817280610E-02 a        24     0     2     1     4
  7.0900882502005408E-02 a        25     0     2     1     5
  3.2987154500492610E-01 a        26     0     2     1     6
 -3.8752312924477156E-01 a        27     0     2     1     7
 -2.1933522972101487E-02 a        28     0     2     1     8
 -2.9716580910543949E-01 a        29     0     2     1     9
 -3.3091015524148574E-03 a        30     0     2     1    10
 -3.2591444946393877E-02 a        31     0     2     1    11
  3.1477939294809504E-01 a        32     0     2     1    12
  2.4246136663603576E-01 a        33     0     2     1    13
  3.0942162034733539E-01 a        34     0     2     1    14
 -2.3423310385174731E-01 a        35     0     2     1    15
  5.1413578506976643E-02 a        36     0     2     1    16
 -8.1777230132518225E-02 a        37     0     2     1    17
 -5.5485096241127307E-01 a        38     0     2     1    18
 -4.4833598387561763E-01 a        39     0     2     1    19
  3.1904471211658086E-01 a        40     0     2     1    20
  1.7858028720748369E-02 a        41     0     3     1     1
 -3.8474328660233259E-01 a        42     0     3     1     2
  5.8316330246778479E-02 a        43     0     3     1     3
 -8.6036724981241360E-04 a        44     0     3     1     4
 -1.2041761502794231E-01 a        45     0     3     1     5
 -3.8329794600665984E-01 a        46     0     3     1     6
 -1.6369648688746413E-01 a        47     0     3     1     7
  3.1522958180976823E-01 a        48     0     3     1     8
  2.8354200763653320E-01 a        49     0     3     1     9
 -2.3821153715598614E-01 a        50     0     3     1    10
  3.5042120501912249E-01 a        51     0     3     1    11
  1.7349115357733394E-01 a        52     0     3     1    12
 -4.9147522119948628E-01 a        53     0     3     1    13
 -2.9384997417418857E-01 a        54     0     3     1    14
  2.5281398241005398E-01 a        55     0     3     1    15
  4.7441829250146506E-01 a        56     0     3     1    16
  4.0377005182638004E-01 a        57     0     3     1    17
 -4.8248630395088905E-03 a        58     0     3     1    18
  4.6671630196475378E-01 a        59     0     3     1    19
 -2.9561629005003576E-01 a        60     0     3     1    20
  4.7534364142447433E-01 a        61     0     4     1     1
 -2.8065111893298900E-01 a        62     0     4     1     2
 -1.5340342694218226E-01 a        63     0     4     1     3
  1.6503058468160353E-01 a        64     0     4     1     4
 -4.0988197568773088E-01 a        65     0     4     1     5
 -1.9790217343778588E-02 a        66     0     4     1     6
 -3.8483387497368582E-01 a        67     0     4     1     7
 -1.8041948128079760E-01 a        68     0     4     1     8
 -8.7017178880752347E-02 a        69     0     4     1     9
 -9.4947395088978120E-02 a        70     0     4     1    10
  2.8174688474725057E-01 a        71     0     4     1    11
 -3.9656301741054195E-01 a        72     0     4     1    12
  1.8096240665871030E-01 a        73     0     4     1    13
 -5.0403357712336602E-02 a        74     0     4     1    14
 -8.1755000869590741E-02 a        75     0     4     1    15
  3.7802846871992463E-01 a        76     0     4     1    16
  2.6567677318900801E-01 a        77     0     4     1    17
  3.6287791526823632E-01 a        78     0     4     1    18
  1.9209647835999197E-01 a        79     0     4     1    19
  5.0599603808877036E-01 a        80     0     4     1    20
 -3.6536403230893433E-01 a        81     0     5     1     1
 -1.4423006041231201E-01 a        82     0     5     1     2
 -2.4475162996253602E-01 a        83     0     5     1     3
  1.9764322361268605E-01 a        84     0     5     1     4
  3.7474388456859280E-03 a        85     0     5     1     5
  1.3570359989427744E-01 a        86     0     5     1     6
  8.2558137755160521E-02 a        87     0     5     1     7
  1.0421830308099828E-01 a        88     0     5     1     8
  1.4049076312075090E-01 a        89     0     5     1     9
  2.1851838060759984E-01 a        90     0     5     1    10
  2.2522819897910240E-01 a        91     0     5     1    11
  3.1219302432560270E-01 a        92     0     5     1    12
