################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7343803701060950E-01 a         1     0     1     1     1
 -8.5465976088562295E-02 a         2     0     1     1     2
  2.4341065316455873E-01 a         3     0     1     1     3
 -2.6697176708439257E-01 a         4     0     1     1     4
  2.1671140539192943E-01 a         5     0     1     1     5
 -1.1562415639036104E-01 a         6     0     1     1     6
 -2.9606576531273771E-01 a         7     0     1     1     7
 -5.0312626689202711E-01 a         8     0     1     1     8
 -2.2266486109967396E-01 a         9     0     1     1     9
  4.8419215707756369E-02 a        10     0     1     1    10
  4.2358232359650716E-01 a        11     0     1     1    11
  2.4002247808818156E-01 a        12     0     1     1    12
  4.3080128869628635E-02 a        13     0     1     1    13
 -1.5696270932445502E-01 a        14     0     1     1    14
 -2.2808598411206193E-01 a        15     0     1     1    15
 -4.0085942826528342E-01 a        16     0     1     1    16
 -3.2046227359005081E-01 a        17     0     1     1    17
 -2.8123336428256018E-01 a        18     0     1     1    18
 -6.3821756484933712E-02 a        19     0     1     1    19
  3.3249891787607311E-01 a        20     0     1     1    20
 -2.1970514567756370E-02 a        21     0     2     1     1
  1.3135400103328196E-01 a        22     0     2     1     2
 -2.6040636388691835E-01 a        23     0     2     1     3
  1.5320009595235398E-01 a        24     0     2     1     4
 -3.4775728760710534E-01 a        25     0     2     1     5
  3.6520190623206167E-01 a        26     0     2     1     6
  6.1500108518929238E-02 a        27     0     2     1     7
  2.6113955949887241E-01 a        28     0     2     1     8
  3.3046001653420252E-03 a        29     0     2     1     9
 -1.9499409076744204E-02 a        30     0     2     1    10
 -2.8724612927547660E-01 a        31     0     2     1    11
 -5.4479958846551690E-01 a        32     0     2     1    12
  1.7145825642090773E-01 a        33     0     2     1    13
  2.9823951904477608E-01 a        34     0     2     1    14
  3.9501759776519973E-01 a        35     0     2     1    15
  1.6343546562338226E-01 a        36     0     2     1    16
  2.2946881602165095E-01 a        37     0     2     1    17
  3.0961740089686825E-02 a        38     0     2     1    18
  2.9088536218321009E-01 a        39     0     2     1    19
 -1.3382402372240662E-01 a        40     0     2     1    20
  2.1390310438222393E-01 a        41     0     3     1     1
  5.7607983372574174E-02 a        42     0     3     1     2
  5.0367551342425786E-02 a        43     0     3     1     3
  3.6708204031326847E-01 a        44     0     3     1     4
  1.0575838704830183E-01 a        45     0     3     1     5
  7.0765165536707753E-02 a        46     0     3     1     6
  2.3511845334025916E-01 a        47     0     3     1     7
  1.7030330958267553E-01 a        48     0     3     1     8
 -5.1475846866573936E-02 a        49     0     3     1     9
  1.2274703910887741E-01 a        50     0     3     1    10
 -7.9634989447187873E-02 a        51     0     3     1    11
  3.2915629893852794E-01 a        52     0     3     1    12
  1.4076851588928976E-01 a        53     0     3     1    13
  5.1555647267835979E-02 a        54     0     3     1    14
 -2.5598144925292510E-01 a        55     0     3     1    15
  3.8879293990532493E-01 a        56     0     3     1    16
  2.6845919994627720E-02 a        57     0     3     1    17
  2.2282367547548154E-01 a        58     0     3     1    18
 -3.7101875431224945E-01 a        59     0     3     1    19
 -2.5172469004896014E-01 a        60     0     3     1    20
  1.3305947329246615E-01 a        61     0     4     1     1
  2.1348444214366172E-01 a        62     0     4     1     2
 -1.7593037228143155E-01 a        63     0     4     1     3
 -1.4958791458701456E-01 a        64     0     4     1     4
 -1.5649677005070789E-01 a        65     0     4     1     5
  7.1636484116980620E-02 a        66     0     4     1     6
 -2.6312649933128340E-01 a        67     0     4     1     7
 -1.5185476818711399E-02 a        68     0     4     1     8
  1.0457909200521907E-01 a        69     0     4     1     9
  9.7565328259332035E-02 a        70     0     4     1    10
  1.4230421105529714E-01 a        71     0     4     1    11
 -5.4970202569757057E-02 a        72     0     4     1    12
 -2.8764619150630683E-01 a        73     0     4     1    13
  2.9884555376237143E-01 a        74     0     4     1    14
  1.5169372488670396E-01 a        75     0     4     1    15
  1.4504778775071672E-01 a        76     0     4     1    16
  6.0448302872486460E-02 a        77     0     4     1    17
  1.7139351098741928E-01 a        78     0     4     1    18
  2.1865010244754630E-02 a        79     0     4     1    19
 -3.0059947775193235E-01 a        80     0     4     1    20
 -3.2426798189543182E-01 a        81     0     5     1     1
  2.1632169451417871E-01 a        82     0     5     1     2
 -4.6911365402637090E-01 a        83     0     5     1     3
  1.2955162699232028E-01 a        84     0     5     1     4
 -5.0285213459488354E-01 a        85     0     5     1     5
 -1.1364244052316012E-01 a        86     0     5     1     6
 -3.0366759059222503E-01 a        87     0     5     1     7
  4.1047901693750383E-01 a        88     0     5     1     8
 -2.9473721783890655E-01 a        89     0     5     1     9
 -2.7083579319185908E-01 a        90     0     5     1    10
  1.9684485412889355E-01 a        91     0     5     1    11
  6.3562112633584647E-02 a        92     0     5     1    12
  1.9667788100637580E-02 a        93     0     5     1    13
 -1.7929397229103364E-01 a        94     0     5     1    14
  2.0673224885736138E-01 a        95     0     5     1    15
 -1.5300039580553304E-01 a        96     0     5     1    16
  9.5871472369937927E-02 a        97     0     5     1    17
  4.8483981474873178E-02 a        98     0     5     1    18
  2.9514037196641757E-01 a        99     0     5     1    19
 -2.5844465370337300E-01 a       100     0     5     1    20
 -2.3699432819727345E-01 a       101     0     6     1     1
  1.5818893277258536E-01 a       102     0     6     1     2
  1.9642439103280754E-01 a       103     0     6     1     3
 -1.1262731433705186E-01 a       104     0     6     1     4
  3.3825749422993895E-01 a       105     0     6     1     5
 -1.5619507906536234E-01 a       106     0     6     1     6
  1.2058870797096718E-01 a       107     0     6     1     7
  1.9609632161720733E-01 a       108     0     6     1     8
 -2.6348761037729351E-01 a       109     0     6     1     9
