################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.6790483077966396E-01 a         1     0     1     1     1
  3.6123909912394825E-01 a         2     0     1     1     2
 -6.5755159760059245E-01 a         3     0     1     1     3
 -8.7885794826776317E-02 a         4     0     1     1     4
 -3.2778094284988651E-01 a         5     0     1     1     5
 -3.0544538025637874E-01 a         6     0     1     1     6
 -2.1935815630285549E-01 a         7     0     1     1     7
  3.9538520662893933E-01 a         8     0     1     1     8
 -3.1341117177112315E-01 a         9     0     1     1     9
  2.6675667299249604E-02 a        10     0     1     1    10
  1.2593700276369182E-01 a        11     0     1     1    11
  1.3483937218336739E-01 a        12     0     1     1    12
  1.7526735451191397E-01 a        13     0     1     1    13
  7.9859436786586923E-03 a        14     0     1     1    14
  1.9517365918642812E-01 a        15     0     1     1    15
  2.8771546031494311E-01 a        16     0     1     1    16
 -2.4599107125808445E-01 a        17     0     1     1    17
  7.1776776729229122E-02 a        18     0     1     1    18
  1.1288570829842787E-01 a        19     0     1     1    19
 -2.0069989511023964E-01 a        20     0     1     1    20
 -5.2965726177920600E-02 a        21     0     2     1     1
 -1.7023284503350267E-01 a        22     0     2     1     2
  3.2157217180707703E-01 a        23     0     2     1     3
 -1.6907305245105787E-02 a        24     0     2     1     4
  1.3677210124258110E-01 a        25     0     2     1     5
  1.1300198375173044E-01 a        26     0     2     1     6
  1.2227254450994797E-01 a        27     0     2     1     7
 -8.2996728263420860E-02 a        28     0     2     1     8
  6.5282100160409279E-02 a        29     0     2     1     9
 -8.6626386847944589E-02 a        30     0     2     1    10
 -3.6722596681532593E-01 a        31     0     2     1    11
  2.9202985005848975E-01 a        32     0     2     1    12
 -4.7581836367907387E-01 a        33     0     2     1    13
  3.6420837368002684E-01 a        34     0     2     1    14
 -3.2349430719336388E-02 a        35     0     2     1    15
 -2.6920023318386382E-01 a        36     0     2     1    16
  3.0626559667254200E-01 a        37     0     2     1    17
 -2.5972536015042957E-01 a        38     0     2     1    18
 -1.6691452705584467E-01 a        39     0     2     1    19
 -3.2345554871737847E-01 a        40     0     2     1    20
  2.4471543358627873E-01 a        41     0     3     1     1
 -4.0601311344934998E-01 a        42     0     3     1     2
  1.7754410481797639E-01 a        43     0     3     1     3
  2.5640289537035826E-01 a        44     0     3     1     4
  4.9030490809797857E-02 a        45     0     3     1     5
  1.5742440648473585E-01 a        46     0     3     1     6
  3.3873316792738856E-01 a        47     0     3     1     7
 -1.0391815572096516E-01 a        48     0     3     1     8
  2.0340916047718946E-01 a        49     0     3     1     9
  2.4783799146654176E-01 a        50     0     3     1    10
  1.4228914956494892E-01 a        51     0     3     1    11
 -3.1231882656947035E-01 a        52     0     3     1    12
  1.8503901161999065E-01 a        53     0     3     1    13
 -2.2746465476308930E-02 a        54     0     3     1    14
 -2.9589058359283354E-01 a        55     0     3     1    15
  1.6436027430837580E-01 a        56     0     3     1    16
 -1.4292833428061019E-02 a        57     0     3     1    17
 -9.1965181447911895E-02 a        58     0     3     1    18
  2.8623290894578046E-01 a        59     0     3     1    19
 -1.9421346043795074E-02 a        60     0     3     1    20
 -3.0507381787230037E-01 a        61     0     4     1     1
  2.3068381169279753E-01 a        62     0     4     1     2
  1.0579189749063331E-01 a        63     0     4     1     3
 -3.5158845762806791E-02 a        64     0     4     1     4
 -2.2340151326111976E-01 a        65     0     4     1     5
  3.7630908469544211E-01 a        66     0     4     1     6
 -1.5233362444404877E-01 a        67     0     4     1     7
 -6.0146084183009246E-03 a        68     0     4     1     8
 -7.1879181458987279E-02 a        69     0     4     1     9
 -1.2179216648876459E-01 a        70     0     4     1    10
 -3.0315963090809472E-01 a        71     0     4     1    11
 -4.9376803173135092E-01 a        72     0     4     1    12
  4.1772905428704771E-01 a        73     0     4     1    13
 -1.9229287490493316E-01 a        74     0     4     1    14
  8.9653540375186691E-02 a        75     0     4     1    15
 -3.5297058273807724E-01 a        76     0     4     1    16
 -2.0985548801951890E-02 a        77     0     4     1    17
 -5.6535302751020023E-03 a        78     0     4     1    18
  3.8178260439807465E-01 a        79     0     4     1    19
  3.2515368163959124E-01 a        80     0     4     1    20
  2.0104474221828056E-01 a        81     0     5     1     1
 -2.4803742949223664E-01 a        82     0     5     1     2
  1.3623413745442839E-01 a        83     0     5     1     3
 -2.5733152519025271E-01 a        84     0     5     1     4
  2.7521555231743855E-01 a        85     0     5     1     5
 -4.3863251341468186E-02 a        86     0     5     1     6
  2.6569997803676648E-01 a        87     0     5     1     7
 -1.1141137975767032E-01 a        88     0     5     1     8
  4.0039450513578417E-01 a        89     0     5     1     9
  2.8204889266767597E-01 a        90     0     5     1    10
  1.5141596121096010E-01 a        91     0     5     1    11
  2.6443540633549667E-01 a        92     0     5     1    12
 -2.6259957819676077E-02 a        93     0     5     1    13
 -3.8340886377420191E-01 a        94     0     5     1    14
  1.9159122284021596E-01 a        95     0     5     1    15
  1.2203037697416427E-01 a        96     0     5     1    16
  5.5027826272098346E-01 a        97     0     5     1    17
 -8.5715681142687156E-02 a        98     0     5     1    18
 -1.8875816204537005E-01 a        99     0     5     1    19
  1.6603678615753409E-01 a       100     0     5     1    20
 -2.8013549213227551E-01 a       101     0     6     1     1
 -1.6598810645861781E-01 a       102     0     6     1     2
  2.4204823023639971E-01 a       103     0     6     1     3
  3.9855411361833681E-01 a       104     0     6     1     4
  2.6139653742559171E-01 a       105     0     6     1     5
 -2.9818055217499329E-01 a       106     0     6     1     6
  6.9809432275560274E-02 a       107     0     6     1     7
 -2.6164206908177001E-01 a       108     0     6     1     8
  8.4595693767122240E-02 a       109     0     6     1     9
 -1.8375440980003116E-01 a       110     0     6     1    10
  2.3689989356193814E-01 a       111     0     6     1    11
  2.1584664389744110E-01 a       112     0     6     1    12
 -3.4470221591309280E-01 a       113     0     6     1    13
 -2.0065324592298669E-01 a       114     0     6     1    14
 -6.4340434809066260E-02 a       115     0     6     1    15
  3.1454129993245628E-01 a       116     0     6     1    16
 -4.7599787424975337E-01 a       117     0     6     1    17
  3.4729958978721565E-01 a       118     0     6     1    18
 -1.3640593881077254E-01 a       119     0     6     1    19
  4.3142161103209281E-01 a       120     0     6     1    20
 -2.0434371339943738E-01 a       121     0     7     1     1
  6.8672623285003939E-02 a       122     0     7     1     2
  2.9572699007313602E-02 a       123     0     7     1     3
  3.2069804087388876E-01 a       124     0     7     1     4
 -2.0374263599305104E-01 a       125     0     7     1     5
 -2.0739946596170972E-02 a       126     0     7     1     6
 -4.4786673519947784E-01 a       127     0     7     1     7
  1.7108222280271584E-01 a       128     0     7     1     8
 -5.2838994525718086E-01 a       129     0     7     1     9
 -5.2572611017817195E-01 a       130     0     7     1    10
 -3.3570787125761981E-01 a       131     0     7     1    11
  2.1132825129002462E-02 a       132     0     7     1    12
  9.4786746456060389E-02 a       133     0     7     1    13
  4.1541213615008149E-01 a       134     0     7     1    14
 -4.3838962573882735E-02 a       135     0     7     1    15
  2.7215581587027537E-01 a       136     0     7     1    16
 -7.4067962684208843E-02 a       137     0     7     1    17
 -4.0513526826576707E-01 a       138     0     7     1    18
  1.7163484047660518E-01 a       139     0     7     1    19
  5.0212746504179596E-02 a       140     0     7     1    20
 -5.1065679241097961E-01 a       141     0     8     1     1
  2.5496037905105984E-01 a       142     0     8     1     2
 -2.0411922692440906E-01 a       143     0     8     1     3
 -4.2961964763794996E-01 a       144     0     8     1     4
  1.2224277684709073E-01 a       145     0     8     1     5
  1.0487221230978830E-01 a       146     0     8     1     6
 -2.2338570012866960E-01 a       147     0     8     1     7
  2.0566967216282725E-01 a       148     0     8     1     8
 -1.6927831790553810E-01 a       149     0     8     1     9
 -1.1339358583847592E-01 a       150     0     8     1    10
  3.7573961870625627E-01 a       151     0     8     1    11
 -1.4067487723838857E-02 a       152     0     8     1    12
 -7.0441292796077229E-03 a       153     0     8     1    13
 -1.0326700427075534E-01 a       154     0     8     1    14
  2.3692684500863775E-01 a       155     0     8     1    15
 -3.2134472771104738E-01 a       156     0     8     1    16
  3.9061257446331425E-02 a       157     0     8     1    17
 -4.2230708341245371E-01 a       158     0     8     1    18
 -3.5763998924565749E-01 a       159     0     8     1    19
 -3.7561888140103089E-01 a       160     0     8     1    20
 -1.3663337119874072E-01 a       161     0     9     1     1
  4.7484742498653698E-02 a       162     0     9     1     2
  9.4802717191198288E-02 a       163     0     9     1     3
  2.2698770503777801E-01 a       164     0     9     1     4
  4.9621841465059130E-01 a       165     0     9     1     5
  2.1450922400277853E-02 a       166     0     9     1     6
  2.6282081446647626E-01 a       167     0     9     1     7
 -2.3006053542200430E-01 a       168     0     9     1     8
  2.5889242936158785E-01 a       169     0     9     1     9
 -3.9251546841155505E-02 a       170     0     9     1    10
 -4.0253962678524235E-01 a       171     0     9     1    11
  2.1165993350820975E-01 a       172     0     9     1    12
 -3.7558585302840619E-01 a       173     0     9     1    13
  1.2614948935974876E-01 a       174     0     9     1    14
 -3.5245755270186130E-01 a       175     0     9     1    15
  3.6891016832584639E-02 a       176     0     9     1    16
  1.1781506113492921E-01 a       177     0     9     1    17
 -3.3582725814467851E-01 a       178     0     9     1    18
 -5.8473903399384547E-02 a       179     0     9     1    19
 -3.9893038927023827E-01 a       180     0     9     1    20
  3.7415491820143115E-01 a       181     0    10     1     1
  3.3214519410474869E-01 a       182     0    10     1     2
  2.5310029009073165E-01 a       183     0    10     1     3
  6.6756394011357592E-02 a       184     0    10     1     4
  2.0603642358030627E-01 a       185     0    10     1     5
 -2.9381076674885065E-01 a       186     0    10     1     6
  5.4556821474677545E-04 a       187     0    10     1     7
  4.7465904761535027E-01 a       188     0    10     1     8
  1.2930578517176647E-01 a       189     0    10     1     9
  2.5880716061897235E-01 a       190     0    10     1    10
  3.9590094007996603E-02 a       191     0    10     1    11
 -1.6943118563307363E-01 a       192     0    10     1    12
  4.8050671814845336E-01 a       193     0    10     1    13
 -2.9541260375339412E-01 a       194     0    10     1    14
  2.0374719062146069E-02 a       195     0    10     1    15
  5.1543360463016365E-02 a       196     0    10     1    16
 -3.4094531364650232E-01 a       197     0    10     1    17
  4.9277111332948836E-01 a       198     0    10     1    18
  3.2325063846477625E-01 a       199     0    10     1    19
 -1.2671272677190196E-01 a       200     0    10     1    20
  6.4094315204738628E-02 a       201     0    11     1     1
 -9.5757269437688142E-02 a       202     0    11     1     2
  2.1598783971913352E-01 a       203     0    11     1     3
  9.7890097845886703E-02 a       204     0    11     1     4
  8.4003908434123198E-02 a       205     0    11     1     5
 -4.6123270243123776E-01 a       206     0    11     1     6
 -2.8025476034908392E-01 a       207     0    11     1     7
 -5.4723156096294329E-02 a       208     0    11     1     8
 -7.2350492945022674E-02 a       209     0    11     1     9
  1.5473732334667829E-02 a       210     0    11     1    10
 -2.3378270983146193E-01 a       211     0    11     1    11
 -1.6727463514036481E-01 a       212     0    11     1    12
 -2.4385186832171668E-01 a       213     0    11     1    13
 -4.9364997910943946E-02 a       214     0    11     1    14
 -2.8227351765598738E-02 a       215     0    11     1    15
 -4.0772768401830299E-02 a       216     0    11     1    16
  5.3303069304461914E-01 a       217     0    11     1    17
  3.1697966928846200E-01 a       218     0    11     1    18
  4.1844660714022536E-01 a       219     0    11     1    19
  3.8321107840895652E-01 a       220     0    11     1    20
 -6.2062303293750232E-02 a       221     0    12     1     1
 -3.0326090917807813E-01 a       222     0    12     1     2
 -1.8165664482487756E-01 a       223     0    12     1     3
 -3.6493482491187945E-02 a       224     0    12     1     4
 -2.9023520135302305E-01 a       225     0    12     1     5
  6.5255474538688088E-02 a       226     0    12     1     6
  3.8599456843760782E-01 a       227     0    12     1     7
 -3.2233386281995080E-01 a       228     0    12     1     8
  5.2021965957883076E-01 a       229     0    12     1     9
  2.0258280302224477E-01 a       230     0    12     1    10
 -2.4790723428915359E-01 a       231     0    12     1    11
 -1.4950689497125846E-01 a       232     0    12     1    12
 -1.2662113762459221E-01 a       233     0    12     1    13
  9.0636387622040959E-02 a       234     0    12     1    14
 -1.3180112136223965E-01 a       235     0    12     1    15
  2.5100655795725652E-01 a       236     0    12     1    16
  4.1164495937278961E-01 a       237     0    12     1    17
 -1.3778476631898673E-01 a       238     0    12     1    18
 -2.6049535065523023E-02 a       239     0    12     1    19
 -2.0358456915318604E-01 a       240     0    12     1    20
 -9.1542211651214192E-02 a       241     0    13     1     1
  2.1909981183557595E-01 a       242     0    13     1     2
 -3.9207144074568767E-02 a       243     0    13     1     3
  3.7882247891136045E-01 a       244     0    13     1     4
 -5.9174389976150632E-01 a       245     0    13     1     5
 -2.7716594803897127E-01 a       246     0    13     1     6
  5.2114171755313028E-02 a       247     0    13     1     7
 -1.9517523078776625E-01 a       248     0    13     1     8
  9.3510564534047283E-02 a       249     0    13     1     9
  3.0329178358500553E-01 a       250     0    13     1    10
 -3.1407247098374685E-01 a       251     0    13     1    11
 -1.6924082797115625E-01 a       252     0    13     1    12
 -1.3222054967558367E-01 a       253     0    13     1    13
  4.5463649144627788E-01 a       254     0    13     1    14
  4.2956955116287276E-03 a       255     0    13     1    15
  3.1327675271947453E-01 a       256     0    13     1    16
  2.5617130745282596E-01 a       257     0    13     1    17
 -1.0014753199665063E-01 a       258     0    13     1    18
 -6.1468493771236296E-02 a       259     0    13     1    19
 -1.6221547395451411E-01 a       260     0    13     1    20
 -4.0969022033141200E-01 a       261     0    14     1     1
 -4.6283926158654665E-01 a       262     0    14     1     2
  4.4803286615950233E-01 a       263     0    14     1     3
  1.3475098100947741E-01 a       264     0    14     1     4
 -2.8373922108197341E-01 a       265     0    14     1     5
 -9.4501837745573108E-02 a       266     0    14     1     6
 -3.5398133133080378E-01 a       267     0    14     1     7
  2.2416786831725588E-01 a       268     0    14     1     8
  1.8210652174969515E-02 a       269     0    14     1     9
 -4.2392287353465408E-01 a       270     0    14     1    10
 -1.4997707894783655E-01 a       271     0    14     1    11
 -2.7859456663018695E-01 a       272     0    14     1    12
  3.3120187993582226E-02 a       273     0    14     1    13
  1.2528077062710774E-01 a       274     0    14     1    14
  1.5105831233378879E-02 a       275     0    14     1    15
 -5.1642742396986874E-01 a       276     0    14     1    16
 -1.2765680992715606E-01 a       277     0    14     1    17
 -7.2964552881164213E-02 a       278     0    14     1    18
 -5.6557051577228512E-01 a       279     0    14     1    19
  9.1661307052412801E-03 a       280     0    14     1    20
 -9.2634349604460986E-02 a       281     0    15     1     1
  2.1769991237878139E-01 a       282     0    15     1     2
  2.5211996541215569E-02 a       283     0    15     1     3
  2.7129604740910380E-02 a       284     0    15     1     4
 -7.8360743782160056E-02 a       285     0    15     1     5
  3.3586436564993205E-01 a       286     0    15     1     6
 -4.1877273175272213E-02 a       287     0    15     1     7
  4.0187386499513766E-01 a       288     0    15     1     8
  6.9223472293147167E-02 a       289     0    15     1     9
 -4.3739780729685240E-01 a       290     0    15     1    10
 -4.1181833035070448E-01 a       291     0    15     1    11
 -2.5286852088391543E-01 a       292     0    15     1    12
  1.7383440719245100E-01 a       293     0    15     1    13
 -1.7590570598078826E-02 a       294     0    15     1    14
  1.8441427319550824E-01 a       295     0    15     1    15
  6.2358812542606161E-02 a       296     0    15     1    16
  1.5563974620984888E-02 a       297     0    15     1    17
 -1.0414993510939771E-02 a       298     0    15     1    18
  2.7728298119944139E-01 a       299     0    15     1    19
 -2.7160065510579523E-01 a       300     0    15     1    20
  2.8359987044457008E-01 a       301     0    16     1     1
 -9.7211693683707481E-02 a       302     0    16     1     2
 -1.6558078251305608E-01 a       303     0    16     1     3
 -2.5245598316439699E-01 a       304     0    16     1     4
  3.2500218640479850E-01 a       305     0    16     1     5
  3.4200515818827626E-01 a       306     0    16     1     6
 -2.5505454865357352E-01 a       307     0    16     1     7
 -2.2663168438331852E-01 a       308     0    16     1     8
  3.1724782031840143E-01 a       309     0    16     1     9
 -1.9498582493676944E-01 a       310     0    16     1    10
  2.8169957706995419E-01 a       311     0    16     1    11
 -3.9910773568499633E-02 a       312     0    16     1    12
  3.8810110094710215E-01 a       313     0    16     1    13
 -2.6307223421320375E-01 a       314     0    16     1    14
 -1.6455171989864412E-01 a       315     0    16     1    15
  9.5988648000914362E-02 a       316     0    16     1    16
 -1.7934612495410437E-01 a       317     0    16     1    17
  3.3116479782195354E-02 a       318     0    16     1    18
 -2.1634862759330428E-01 a       319     0    16     1    19
 -1.8889343661081170E-01 a       320     0    16     1    20
  5.3618164846504857E-03 a       321     0    17     1     1
 -4.9513961514483879E-01 a       322     0    17     1     2
  3.6028637688776663E-02 a       323     0    17     1     3
  7.9394544428662103E-02 a       324     0    17     1     4
 -4.5710498616766432E-01 a       325     0    17     1     5
 -7.8961559067455972E-02 a       326     0    17     1     6
  2.3684890775299214E-01 a       327     0    17     1     7
 -3.5167088614766312E-01 a       328     0    17     1     8
  3.2604947910734150E-01 a       329     0    17     1     9
  2.9191347221340744E-02 a       330     0    17     1    10
 -3.5829474930896799E-01 a       331     0    17     1    11
 -2.4825037017698398E-01 a       332     0    17     1    12
 -2.4428699876866758E-01 a       333     0    17     1    13
  9.9073584088746322E-02 a       334     0    17     1    14
  1.7262635846954960E-01 a       335     0    17     1    15
  1.6565207936652715E-01 a       336     0    17     1    16
 -1.0363274884527724E-02 a       337     0    17     1    17
  5.1785175689044183E-01 a       338     0    17     1    18
 -1.0157371914702762E-02 a       339     0    17     1    19
 -3.2673035963786817E-01 a       340     0    17     1    20
 -2.2707171219050171E-01 a       341     0    18     1     1
 -1.8619446373567758E-01 a       342     0    18     1     2
  1.1993129687864830E-01 a       343     0    18     1     3
  8.8108245127251558E-02 a       344     0    18     1     4
